Data as of,Start week,End Week,Group,State,Indicator,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
08/28/2020,02/01/2020,02/01/2020,By week,United States,Week-ending,0,58555,0.99,3792,0,479,4271,
08/28/2020,02/08/2020,02/08/2020,By week,United States,Week-ending,1,59270,0.99,3796,0,520,4317,
08/28/2020,02/15/2020,02/15/2020,By week,United States,Week-ending,0,58672,1,3822,0,556,4378,
08/28/2020,02/22/2020,02/22/2020,By week,United States,Week-ending,5,58711,1.01,3693,1,564,4261,
08/28/2020,02/29/2020,02/29/2020,By week,United States,Week-ending,9,59132,1.03,3817,5,654,4475,
08/28/2020,03/07/2020,03/07/2020,By week,United States,Week-ending,35,59473,1.03,3952,17,631,4600,
08/28/2020,03/14/2020,03/14/2020,By week,United States,Week-ending,52,58186,1.02,3940,27,619,4583,
08/28/2020,03/21/2020,03/21/2020,By week,United States,Week-ending,571,58840,1.04,4521,252,560,5393,
08/28/2020,03/28/2020,03/28/2020,By week,United States,Week-ending,3152,62801,1.12,6161,1425,441,8279,
08/28/2020,04/04/2020,04/04/2020,By week,United States,Week-ending,9999,72067,1.29,9897,4746,478,15392,
08/28/2020,04/11/2020,04/11/2020,By week,United States,Week-ending,16152,78798,1.42,11968,7214,474,21040,
08/28/2020,04/18/2020,04/18/2020,By week,United States,Week-ending,17035,76450,1.41,11367,7292,266,21187,
08/28/2020,04/25/2020,04/25/2020,By week,United States,Week-ending,15388,73511,1.37,10338,6586,143,19187,
08/28/2020,05/02/2020,05/02/2020,By week,United States,Week-ending,13109,68920,1.28,8913,5496,65,16571,
08/28/2020,05/09/2020,05/09/2020,By week,United States,Week-ending,11136,66478,1.26,7803,4693,47,14283,
08/28/2020,05/16/2020,05/16/2020,By week,United States,Week-ending,9133,64114,1.22,6720,3758,21,12113,
08/28/2020,05/23/2020,05/23/2020,By week,United States,Week-ending,7126,61200,1.17,5836,2947,24,10034,
08/28/2020,05/30/2020,05/30/2020,By week,United States,Week-ending,6080,59200,1.14,5224,2463,12,8853,
08/28/2020,06/06/2020,06/06/2020,By week,United States,Week-ending,4948,58304,1.11,4846,2127,11,7678,
08/28/2020,06/13/2020,06/13/2020,By week,United States,Week-ending,4158,57354,1.11,4480,1848,11,6798,
08/28/2020,06/20/2020,06/20/2020,By week,United States,Week-ending,3758,57099,1.1,4301,1585,7,6480,
08/28/2020,06/27/2020,06/27/2020,By week,United States,Week-ending,3714,57376,1.12,4156,1523,10,6356,
08/28/2020,07/04/2020,07/04/2020,By week,United States,Week-ending,4354,57982,1.12,4407,1940,4,6822,
08/28/2020,07/11/2020,07/11/2020,By week,United States,Week-ending,5463,58969,1.15,5270,2595,9,8147,
08/28/2020,07/18/2020,07/18/2020,By week,United States,Week-ending,6717,59271,1.16,5807,3241,12,9292,
08/28/2020,07/25/2020,07/25/2020,By week,United States,Week-ending,7457,59196,1.16,6152,3582,9,10032,
08/28/2020,08/01/2020,08/01/2020,By week,United States,Week-ending,6993,57299,1.12,5862,3402,11,9459,
08/28/2020,08/08/2020,08/08/2020,By week,United States,Week-ending,6058,53759,1.04,5400,3022,8,8441,
08/28/2020,08/15/2020,08/15/2020,By week,United States,Week-ending,3988,45195,0.88,3968,1983,5,5975,
08/28/2020,08/22/2020,08/22/2020,By week,United States,Week-ending,967,24968,0.49,1591,466,4,2095,
08/28/2020,02/01/2020,02/01/2020,By week,Alabama,Week-ending,0,1023,0.94,56,0,14,70,
08/28/2020,02/08/2020,02/08/2020,By week,Alabama,Week-ending,0,1115,1,61,0,10,71,
08/28/2020,02/15/2020,02/15/2020,By week,Alabama,Week-ending,0,1091,1,76,0,,82,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
