Data as of,Start Date,End Date,Group,Year,Month,MMWR Week,Week Ending Date,State,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
01/19/2021,12/29/2019,01/04/2020,By Week,,,1,01/04/2020,United States,2,60159,98,4105,2,434,4539,
01/19/2021,01/05/2020,01/11/2020,By Week,2020,,2,01/11/2020,United States,0,60709,97,4151,0,475,4626,
01/19/2021,01/12/2020,01/18/2020,By Week,2020,,3,01/18/2020,United States,3,59347,97,4063,2,467,4531,
01/19/2021,01/19/2020,01/25/2020,By Week,2020,,4,01/25/2020,United States,2,59141,99,3916,1,499,4416,
01/19/2021,01/26/2020,02/01/2020,By Week,2020,,5,02/01/2020,United States,0,58797,99,3815,0,481,4296,
01/19/2021,02/02/2020,02/08/2020,By Week,2020,,6,02/08/2020,United States,1,59369,99,3811,0,521,4333,
01/19/2021,02/09/2020,02/15/2020,By Week,2020,,7,02/15/2020,United States,0,58786,100,3838,0,560,4398,
01/19/2021,02/16/2020,02/22/2020,By Week,2020,,8,02/22/2020,United States,4,58865,101,3711,1,566,4280,
01/19/2021,02/23/2020,02/29/2020,By Week,2020,,9,02/29/2020,United States,9,59271,103,3833,5,655,4492,
01/19/2021,03/01/2020,03/07/2020,By Week,2020,,10,03/07/2020,United States,36,59637,103,3975,18,635,4627,
01/19/2021,03/08/2020,03/14/2020,By Week,2020,,11,03/14/2020,United States,56,58634,103,3969,28,626,4622,
01/19/2021,03/15/2020,03/21/2020,By Week,2020,,12,03/21/2020,United States,574,59166,104,4545,250,559,5421,
01/19/2021,03/22/2020,03/28/2020,By Week,2020,,13,03/28/2020,United States,3173,62966,113,6181,1434,445,8314,
01/19/2021,03/29/2020,04/04/2020,By Week,2020,,14,04/04/2020,United States,10050,72237,129,9925,4765,478,15453,
01/19/2021,04/05/2020,04/11/2020,By Week,2020,,15,04/11/2020,United States,16215,79011,143,12000,7232,473,21117,
01/19/2021,04/12/2020,04/18/2020,By Week,2020,,16,04/18/2020,United States,17100,76700,142,11400,7315,265,21261,
01/19/2021,04/19/2020,04/25/2020,By Week,2020,,17,04/25/2020,United States,15467,73829,138,10383,6610,144,19287,
01/19/2021,04/26/2020,05/02/2020,By Week,2020,,18,05/02/2020,United States,13175,69231,129,8946,5516,65,16650,
01/19/2021,05/03/2020,05/09/2020,By Week,2020,,19,05/09/2020,United States,11196,66760,127,7833,4711,48,14356,
01/19/2021,05/10/2020,05/16/2020,By Week,2020,,20,05/16/2020,United States,9186,64421,123,6775,3782,21,12197,
01/19/2021,05/17/2020,05/23/2020,By Week,2020,,21,05/23/2020,United States,7202,61560,118,5893,2973,24,10141,
01/19/2021,05/24/2020,05/30/2020,By Week,2020,,22,05/30/2020,United States,6139,59611,115,5276,2486,12,8941,
01/19/2021,05/31/2020,06/06/2020,By Week,2020,,23,06/06/2020,United States,5019,58820,112,4896,2148,11,7778,
01/19/2021,06/07/2020,06/13/2020,By Week,2020,,24,06/13/2020,United States,4216,57955,112,4539,1859,11,6904,
01/19/2021,06/14/2020,06/20/2020,By Week,2020,,25,06/20/2020,United States,3820,57912,112,4363,1603,8,6587,
01/19/2021,06/21/2020,06/27/2020,By Week,2020,,26,06/27/2020,United States,3808,58411,114,4260,1553,12,6526,
01/19/2021,06/28/2020,07/04/2020,By Week,2020,,27,07/04/2020,United States,4509,59739,115,4556,1998,5,7069,
01/19/2021,07/05/2020,07/11/2020,By Week,2020,,28,07/11/2020,United States,5743,61817,121,5528,2707,10,8573,
01/19/2021,07/12/2020,07/18/2020,By Week,2020,,29,07/18/2020,United States,7148,63042,124,6178,3444,13,9892,
01/19/2021,07/19/2020,07/25/2020,By Week,2020,,30,07/25/2020,United States,8178,64106,127,6746,3950,10,10979,
01/19/2021,07/26/2020,08/01/2020,By Week,2020,,31,08/01/2020,United States,8258,64072,126,6831,4061,13,11034,
01/19/2021,08/02/2020,08/08/2020,By Week,2020,,32,08/08/2020,United States,7808,63532,124,6793,3967,9,10640,
01/19/2021,08/09/2020,08/15/2020,By Week,2020,,33,08/15/2020,United States,7204,63393,125,6490,3664,5,10032,
01/19/2021,08/16/2020,08/22/2020,By Week,2020,,34,08/22/2020,United States,6328,62239,123,5950,3204,12,9083,
01/19/2021,08/23/2020,08/29/2020,By Week,2020,,35,08/29/2020,United States,5668,60737,119,5520,2868,11,8326,
01/19/2021,08/30/2020,09/05/2020,By Week,2020,,36,09/05/2020,United States,4929,59668,117,5155,2479,9,7610,
01/19/2021,09/06/2020,09/12/2020,By Week,2020,,37,09/12/2020,United States,4508,58960,114,4882,2248,7,7147,
