OBJECTID,STAETFP,COUNTYFP,GEOID,COUNTY,LABEL,FULL_,County_Pos_Cases,County_Population,County_Rate_Per_100_000,State_Population,State_Pos_Unknown,State_Pos_Cases,Data_Source,Date_Data_Last_Updated,State_Number_Tested,State_Number_Hospitalizations,State_Deaths,State_Number_of_Counties_Pos,State_Rate_Per_100000,Shape__Area,Shape__Length,State_Number_Outbreaks
1,8,109,8109,SAGUACHE,Saguache,Saguache County,3,6837,-1,5695430,77,9047,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 16, 2020",43307,1755,391,57,158.76,13273871024,529491.079,100
2,8,115,8115,SEDGWICK,Sedgwick,Sedgwick County,0,2275,0,5695430,77,9047,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 16, 2020",43307,1755,391,57,158.76,2491281577,208249.5687,100
3,8,17,8017,CHEYENNE,Cheyenne,Cheyenne County,0,1862,0,5695430,77,9047,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 16, 2020",43307,1755,391,57,158.76,7613550870,373455.8318,100
4,8,27,8027,CUSTER,Custer,Custer County,2,4928,-1,5695430,77,9047,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 16, 2020",43307,1755,391,57,158.76,3100361575,290994.589,100
5,8,67,8067,LA PLATA,La Plata,La Plata County,51,56403,90.42,5695430,77,9047,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 16, 2020",43307,1755,391,57,158.76,6966607867,371001.0277,100
6,8,111,8111,SAN JUAN,San Juan,San Juan County,0,762,0,5695430,77,9047,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 16, 2020",43307,1755,391,57,158.76,1611963627,209303.3468,100
7,8,97,8097,PITKIN,Pitkin,Pitkin County,51,17879,285.25,5695430,77,9047,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 16, 2020",43307,1755,391,57,158.76,4204962607,360368.0505,100
8,8,93,8093,PARK,Park,Park County,6,18557,32.33,5695430,77,9047,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 16, 2020",43307,1755,391,57,158.76,9525822458,477017.5205,100
9,8,3,8003,ALAMOSA,Alamosa,Alamosa County,7,16184,43.25,5695430,77,9047,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 16, 2020",43307,1755,391,57,158.76,2987314188,224661.4372,100
10,8,99,8099,PROWERS,Prowers,Prowers County,1,12078,-1,5695430,77,9047,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 16, 2020",43307,1755,391,57,158.76,6861386118,333326.7522,100
11,8,81,8081,MOFFAT,Moffat,Moffat County,3,13181,-1,5695430,77,9047,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 16, 2020",43307,1755,391,57,158.76,21378597682,615436.3637,100
12,8,59,8059,JEFFERSON,Jefferson,Jefferson County,888,579491,153.24,5695430,77,9047,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 16, 2020",43307,1755,391,57,158.76,3379799619,374132.1175,100
13,8,117,8117,SUMMIT,Summit,Summit County,82,30973,264.75,5695430,77,9047,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 16, 2020",43307,1755,391,57,158.76,2707648430,325660.7754,100
14,8,101,8101,PUEBLO,Pueblo,Pueblo County,78,167116,46.67,5695430,77,9047,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 16, 2020",43307,1755,391,57,158.76,10064732291,426421.3459,100
15,8,13,8013,BOULDER,Boulder,Boulder County,327,325476,100.47,5695430,77,9047,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 16, 2020",43307,1755,391,57,158.76,3280791024,290982.5021,100
16,8,31,8031,DENVER,Denver,Denver County,1633,717797,227.5,5695430,77,9047,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 16, 2020",43307,1755,391,57,158.76,680063925.7,341638.1275,100
17,8,85,8085,MONTROSE,Montrose,Montrose County,70,42260,165.64,5695430,77,9047,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 16, 2020",43307,1755,391,57,158.76,9473395349,544456.7418,100
18,8,37,8037,EAGLE,Eagle,Eagle County,482,54863,878.55,5695430,77,9047,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 16, 2020",43307,1755,391,57,158.76,7395854605,390147.7781,100
19,8,113,8113,SAN MIGUEL,San Miguel,San Miguel County,13,8177,158.98,5695430,77,9047,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 16, 2020",43307,1755,391,57,158.76,5384599735,409162.4398,100
20,8,23,8023,COSTILLA,Costilla,Costilla County,3,3809,-1,5695430,77,9047,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 16, 2020",43307,1755,391,57,158.76,5044736712,326902.58,100
21,8,14,8014,BROOMFIELD,Broomfield,Broomfield County,98,69453,141.1,5695430,77,9047,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 16, 2020",43307,1755,391,57,158.76,148046030.4,146355.8305,100
22,8,15,8015,CHAFFEE,Chaffee,Chaffee County,35,20028,174.76,5695430,77,9047,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 16, 2020",43307,1755,391,57,158.76,4328004367,386588.2056,100
23,8,25,8025,CROWLEY,Crowley,Crowley County,2,5857,-1,5695430,77,9047,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 16, 2020",43307,1755,391,57,158.76,3373467236,243673.4216,100
24,8,43,8043,FREMONT,Fremont,Fremont County,9,47912,18.78,5695430,77,9047,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 16, 2020",43307,1755,391,57,158.76,6491723773,368122.6367,100
25,8,55,8055,HUERFANO,Huerfano,Huerfano County,1,6854,-1,5695430,77,9047,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 16, 2020",43307,1755,391,57,158.76,6600175788,473895.539,100
26,8,29,8029,DELTA,Delta,Delta County,16,30936,51.72,5695430,77,9047,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 16, 2020",43307,1755,391,57,158.76,4913548288,340015.0705,100
27,8,45,8045,GARFIELD,Garfield,Garfield County,65,59807,108.68,5695430,77,9047,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 16, 2020",43307,1755,391,57,158.76,12911081556,662380.0473,100
28,8,103,8103,RIO BLANCO,Rio Blanco,Rio Blanco County,1,6305,-1,5695430,77,9047,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 16, 2020",43307,1755,391,57,158.76,14232867248,615863.6668,100
29,8,87,8087,MORGAN,Morgan,Morgan County,135,28503,473.63,5695430,77,9047,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 16, 2020",43307,1755,391,57,158.76,5761403666,305025.0675,100
30,8,73,8073,LINCOLN,Lincoln,Lincoln County,3,5584,-1,5695430,77,9047,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 16, 2020",43307,1755,391,57,158.76,11104214488,501503.38,100
31,8,83,8083,MONTEZUMA,Montezuma,Montezuma County,13,26159,49.7,5695430,77,9047,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 16, 2020",43307,1755,391,57,158.76,8372827721,400009.0561,100
32,8,1,8001,ADAMS,Adams,Adams County,860,511473,168.14,5695430,77,9047,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County of Identification,"Data through April 16, 2020",43307,1755,391,57,158.76,5210141150,511835.4009,100
33,8,79,8079,MINERAL,Mineral,Mineral County,2,777,-1,5695430,77,9047,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 16, 2020",43307,1755,391,57,158.76,3634702483,263045.3888,100
34,8,89,8089,OTERO,Otero,Otero County,6,18364,32.67,5695430,77,9047,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 16, 2020",43307,1755,391,57,158.76,5290668251,335426.3309,100
35,8,95,8095,PHILLIPS,Phillips,Phillips County,5,4266,117.21,5695430,77,9047,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 16, 2020",43307,1755,391,57,158.76,3093819024,227633.7382,100
36,8,91,8091,OURAY,Ouray,Ouray County,5,4798,104.21,5695430,77,9047,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 16, 2020",43307,1755,391,57,158.76,2274816289,272615.6231,100
37,8,11,8011,BENT,Bent,Bent County,0,5819,0,5695430,77,9047,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 16, 2020",43307,1755,391,57,158.76,6430590599,323583.7276,100
38,8,7,8007,ARCHULETA,Archuleta,Archuleta County,6,13737,43.68,5695430,77,9047,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 16, 2020",43307,1755,391,57,158.76,5542147892,332854.3759,100
