OBJECTID,Name,Pop,Desc_,Attr_Date,Metric,Value,Rep_Date,Shape__Area,Shape__Length
1,Colorado,5694287,Daily Serology Data From Clinical Laboratories,4/20/20,Number of positive tests,0,5/5/20,28.039425,22.01992042
2,Colorado,5694287,Daily Serology Data From Clinical Laboratories,4/20/20,Number of negative tests,1,5/5/20,28.039425,22.01992042
3,Colorado,5694287,Daily Serology Data From Clinical Laboratories,4/21/20,Number of positive tests,2,5/5/20,28.039425,22.01992042
4,Colorado,5694287,Daily Serology Data From Clinical Laboratories,4/22/20,Number of positive tests,10,5/5/20,28.039425,22.01992042
5,Colorado,5694287,Daily Serology Data From Clinical Laboratories,4/22/20,Number of negative tests,22,5/5/20,28.039425,22.01992042
6,Colorado,5694287,Daily Serology Data From Clinical Laboratories,4/23/20,Number of positive tests,29,5/5/20,28.039425,22.01992042
7,Colorado,5694287,Daily Serology Data From Clinical Laboratories,4/27/20,Number of positive tests,33,5/5/20,28.039425,22.01992042
8,Colorado,5694287,Daily Serology Data From Clinical Laboratories,4/21/20,Number of negative tests,36,5/5/20,28.039425,22.01992042
9,Colorado,5694287,Daily Serology Data From Clinical Laboratories,4/24/20,Number of positive tests,47,5/5/20,28.039425,22.01992042
10,Colorado,5694287,Daily Serology Data From Clinical Laboratories,4/26/20,Number of positive tests,56,5/5/20,28.039425,22.01992042
11,Colorado,5694287,Daily Serology Data From Clinical Laboratories,5/3/20,Number of positive tests,56,5/5/20,28.039425,22.01992042
12,Colorado,5694287,Daily Serology Data From Clinical Laboratories,4/25/20,Number of positive tests,57,5/5/20,28.039425,22.01992042
13,Colorado,5694287,Daily Serology Data From Clinical Laboratories,4/28/20,Number of positive tests,76,5/5/20,28.039425,22.01992042
14,Colorado,5694287,Daily Serology Data From Clinical Laboratories,4/23/20,Number of negative tests,113,5/5/20,28.039425,22.01992042
15,Colorado,5694287,Daily Serology Data From Clinical Laboratories,4/29/20,Number of positive tests,126,5/5/20,28.039425,22.01992042
16,Colorado,5694287,Daily Serology Data From Clinical Laboratories,5/2/20,Number of positive tests,148,5/5/20,28.039425,22.01992042
17,Colorado,5694287,Daily Serology Data From Clinical Laboratories,4/30/20,Number of positive tests,154,5/5/20,28.039425,22.01992042
18,Colorado,5694287,Daily Serology Data From Clinical Laboratories,5/1/20,Number of positive tests,181,5/5/20,28.039425,22.01992042
19,Colorado,5694287,Daily Serology Data From Clinical Laboratories,4/27/20,Number of negative tests,187,5/5/20,28.039425,22.01992042
20,Colorado,5694287,Daily Serology Data From Clinical Laboratories,5/4/20,Number of positive tests,191,5/5/20,28.039425,22.01992042
21,Colorado,5694287,Daily Serology Data From Clinical Laboratories,4/24/20,Number of negative tests,396,5/5/20,28.039425,22.01992042
22,Colorado,5694287,Daily Serology Data From Clinical Laboratories,5/3/20,Number of negative tests,480,5/5/20,28.039425,22.01992042
23,Colorado,5694287,Daily Serology Data From Clinical Laboratories,4/28/20,Number of negative tests,598,5/5/20,28.039425,22.01992042
24,Colorado,5694287,Daily Serology Data From Clinical Laboratories,4/25/20,Number of negative tests,612,5/5/20,28.039425,22.01992042
25,Colorado,5694287,Daily Serology Data From Clinical Laboratories,4/26/20,Number of negative tests,722,5/5/20,28.039425,22.01992042
26,Colorado,5694287,Daily Serology Data From Clinical Laboratories,4/29/20,Number of negative tests,1121,5/5/20,28.039425,22.01992042
27,Colorado,5694287,Daily Serology Data From Clinical Laboratories,4/30/20,Number of negative tests,1554,5/5/20,28.039425,22.01992042
28,Colorado,5694287,Daily Serology Data From Clinical Laboratories,5/1/20,Number of negative tests,1618,5/5/20,28.039425,22.01992042
