OBJECTID,Desc_,Date,Metric,Value,Rep_Date,Name,Pop
1,Daily COVID-19 PCR Test Data From Clinical Laboratories,02/29/2020,Percent Positivity,0,02/02/2021,Colorado,5763976
2,Daily COVID-19 PCR Test Data From Clinical Laboratories,02/29/2020,People Tested at CDPHE State Lab,6,02/02/2021,Colorado,5763976
3,Daily COVID-19 PCR Test Data From Clinical Laboratories,02/29/2020,People Tested at Non-CDPHE (Commerical) Labs,0,02/02/2021,Colorado,5763976
4,Daily COVID-19 PCR Test Data From Clinical Laboratories,02/29/2020,Cumulative People Tested at CDPHE State Lab,6,02/02/2021,Colorado,5763976
5,Daily COVID-19 PCR Test Data From Clinical Laboratories,02/29/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,0,02/02/2021,Colorado,5763976
6,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/01/2020,Percent Positivity,0,02/02/2021,Colorado,5763976
7,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/01/2020,People Tested at CDPHE State Lab,2,02/02/2021,Colorado,5763976
8,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/01/2020,People Tested at Non-CDPHE (Commerical) Labs,0,02/02/2021,Colorado,5763976
9,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/01/2020,Cumulative People Tested at CDPHE State Lab,8,02/02/2021,Colorado,5763976
10,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/01/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,0,02/02/2021,Colorado,5763976
11,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/02/2020,People Tested at CDPHE State Lab,0,02/02/2021,Colorado,5763976
12,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/02/2020,People Tested at Non-CDPHE (Commerical) Labs,0,02/02/2021,Colorado,5763976
13,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/02/2020,Cumulative People Tested at CDPHE State Lab,8,02/02/2021,Colorado,5763976
14,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/02/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,0,02/02/2021,Colorado,5763976
15,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/02/2020,3-Day Average Percent Positivity,0,02/02/2021,Colorado,5763976
16,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/03/2020,Percent Positivity,0,02/02/2021,Colorado,5763976
17,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/03/2020,People Tested at CDPHE State Lab,5,02/02/2021,Colorado,5763976
18,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/03/2020,People Tested at Non-CDPHE (Commerical) Labs,0,02/02/2021,Colorado,5763976
19,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/03/2020,Cumulative People Tested at CDPHE State Lab,13,02/02/2021,Colorado,5763976
20,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/03/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,0,02/02/2021,Colorado,5763976
21,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/03/2020,3-Day Average Percent Positivity,0,02/02/2021,Colorado,5763976
22,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/04/2020,Percent Positivity,0,02/02/2021,Colorado,5763976
23,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/04/2020,People Tested at CDPHE State Lab,12,02/02/2021,Colorado,5763976
24,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/04/2020,People Tested at Non-CDPHE (Commerical) Labs,0,02/02/2021,Colorado,5763976
25,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/04/2020,Cumulative People Tested at CDPHE State Lab,25,02/02/2021,Colorado,5763976
26,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/04/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,0,02/02/2021,Colorado,5763976
27,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/04/2020,3-Day Average Percent Positivity,0,02/02/2021,Colorado,5763976
28,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/05/2020,People Tested at CDPHE State Lab,0,02/02/2021,Colorado,5763976
29,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/05/2020,People Tested at Non-CDPHE (Commerical) Labs,0,02/02/2021,Colorado,5763976
30,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/05/2020,Cumulative People Tested at CDPHE State Lab,25,02/02/2021,Colorado,5763976
31,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/05/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,0,02/02/2021,Colorado,5763976
32,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/05/2020,3-Day Average Percent Positivity,0,02/02/2021,Colorado,5763976
33,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/06/2020,Percent Positivity,0.088,02/02/2021,Colorado,5763976
34,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/06/2020,People Tested at CDPHE State Lab,34,02/02/2021,Colorado,5763976
35,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/06/2020,People Tested at Non-CDPHE (Commerical) Labs,0,02/02/2021,Colorado,5763976
36,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/06/2020,Cumulative People Tested at CDPHE State Lab,59,02/02/2021,Colorado,5763976
37,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/06/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,0,02/02/2021,Colorado,5763976
38,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/06/2020,7-Day Average Percent Positivity,0.051,02/02/2021,Colorado,5763976
39,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/06/2020,3-Day Average Percent Positivity,0.065,02/02/2021,Colorado,5763976
40,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/07/2020,Percent Positivity,0.105,02/02/2021,Colorado,5763976
41,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/07/2020,People Tested at CDPHE State Lab,38,02/02/2021,Colorado,5763976
42,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/07/2020,People Tested at Non-CDPHE (Commerical) Labs,0,02/02/2021,Colorado,5763976
43,Daily COVID-19 PCR Test Data From Clinical Laboratories,03/07/2020,Cumulative People Tested at CDPHE State Lab,97,02/02/2021,Colorado,5763976
