COUNTY,LABEL,FULL_,FIPS,POP,Desc_,Metric,Value,Rate,Date,ObjectId
SAGUACHE,Saguache,Saguache County,109,6837,Colorado Case Counts by County,Cases,1,,03/31/2020,1
SAGUACHE,Saguache,Saguache County,109,6837,Colorado Case Counts by County,Cases,1,,04/01/2020,2
SAGUACHE,Saguache,Saguache County,109,6837,Colorado Case Counts by County,Cases,3,,04/02/2020,3
SAGUACHE,Saguache,Saguache County,109,6837,Colorado Case Counts by County,Cases,3,,04/03/2020,4
SAGUACHE,Saguache,Saguache County,109,6837,Colorado Case Counts by County,Cases,3,,04/04/2020,5
SAGUACHE,Saguache,Saguache County,109,6837,Colorado Case Counts by County,Cases,3,,04/05/2020,6
SAGUACHE,Saguache,Saguache County,109,6837,Colorado Case Counts by County,Cases,3,,04/06/2020,7
SAGUACHE,Saguache,Saguache County,109,6837,Colorado Case Counts by County,Cases,3,,04/07/2020,8
SAGUACHE,Saguache,Saguache County,109,6837,Colorado Case Counts by County,Cases,3,,04/08/2020,9
SAGUACHE,Saguache,Saguache County,109,6837,Colorado Case Counts by County,Cases,3,,04/09/2020,10
SAGUACHE,Saguache,Saguache County,109,6837,Colorado Case Counts by County,Cases,3,,04/10/2020,11
SAGUACHE,Saguache,Saguache County,109,6837,Colorado Case Counts by County,Cases,3,,04/11/2020,12
SAGUACHE,Saguache,Saguache County,109,6837,Colorado Case Counts by County,Cases,3,,04/12/2020,13
SAGUACHE,Saguache,Saguache County,109,6837,Colorado Case Counts by County,Cases,3,,04/13/2020,14
SAGUACHE,Saguache,Saguache County,109,6837,Colorado Case Counts by County,Cases,3,,04/14/2020,15
SAGUACHE,Saguache,Saguache County,109,6837,Colorado Case Counts by County,Cases,3,,04/15/2020,16
SAGUACHE,Saguache,Saguache County,109,6837,Colorado Case Counts by County,Cases,3,,04/16/2020,17
SAGUACHE,Saguache,Saguache County,109,6837,Colorado Case Counts by County,Cases,3,,04/17/2020,18
SAGUACHE,Saguache,Saguache County,109,6837,Colorado Case Counts by County,Cases,3,,04/18/2020,19
SAGUACHE,Saguache,Saguache County,109,6837,Colorado Case Counts by County,Cases,3,,04/19/2020,20
SAGUACHE,Saguache,Saguache County,109,6837,Colorado Case Counts by County,Cases,3,,04/20/2020,21
SAGUACHE,Saguache,Saguache County,109,6837,Colorado Case Counts by County,Cases,3,,04/21/2020,22
SAGUACHE,Saguache,Saguache County,109,6837,Colorado Case Counts by County,Cases,3,,04/22/2020,23
SAGUACHE,Saguache,Saguache County,109,6837,Colorado Case Counts by County,Cases,3,,04/23/2020,24
SAGUACHE,Saguache,Saguache County,109,6837,Colorado Case Counts by County,Cases,3,,04/24/2020,25
SAGUACHE,Saguache,Saguache County,109,6837,Colorado Case Counts by County,Cases,3,,04/25/2020,26
SAGUACHE,Saguache,Saguache County,109,6837,Colorado Case Counts by County,Cases,3,,04/26/2020,27
SAGUACHE,Saguache,Saguache County,109,6837,Colorado Case Counts by County,Cases,3,,04/27/2020,28
SAGUACHE,Saguache,Saguache County,109,6837,Colorado Case Counts by County,Cases,3,,04/28/2020,29
SAGUACHE,Saguache,Saguache County,109,6837,Colorado Case Counts by County,Cases,4,,04/29/2020,30
SAGUACHE,Saguache,Saguache County,109,6837,Colorado Case Counts by County,Cases,3,,04/30/2020,31
SAGUACHE,Saguache,Saguache County,109,6837,Colorado Case Counts by County,Cases,3,,05/01/2020,32
SAGUACHE,Saguache,Saguache County,109,6837,Total COVID-19 Tests Performed in Colorado by County,Percent of tests by Serology,,0,05/01/2020,33
SAGUACHE,Saguache,Saguache County,109,6837,Total COVID-19 Tests Performed in Colorado by County,Percent of tests by PCR,,100,05/01/2020,34
SAGUACHE,Saguache,Saguache County,109,6837,Total COVID-19 Tests Performed in Colorado by County,Total Tests Performed,75,,05/01/2020,35
SAGUACHE,Saguache,Saguache County,109,6837,"Total Testing Rate Per 100,000 People in Colorado by County","Rate per 100,000",,1097,05/01/2020,36
SAGUACHE,Saguache,Saguache County,109,6837,Colorado Case Counts by County,Cases,3,,05/02/2020,37
SAGUACHE,Saguache,Saguache County,109,6837,Total COVID-19 Tests Performed in Colorado by County,Percent of tests by Serology,,0,05/02/2020,38
