OBJECTID,Name,Desc_,Date,Cases,Tested,Deaths,Population,Rate,Hosp,Counties,Outbreaks,Shape__Area,Shape__Length
1,Colorado,State Data,3/17/20,183,1790,2,5694287,3.21,20,19,,28.039425,22.01992042
2,Colorado,State Data,3/18/20,216,2328,2,5694287,3.79,26,20,,28.039425,22.01992042
3,Colorado,State Data,3/19/20,277,2952,2,5694287,4.86,42,22,,28.039425,22.01992042
4,Colorado,State Data,3/20/20,363,3680,4,5694287,6.37,44,24,,28.039425,22.01992042
5,Colorado,State Data,3/21/20,475,4550,5,5694287,8.34,49,29,,28.039425,22.01992042
6,Colorado,State Data,3/22/20,591,5436,6,5694287,10.38,58,29,5,28.039425,22.01992042
7,Colorado,State Data,3/23/20,720,6224,7,5694287,12.64,72,31,5,28.039425,22.01992042
8,Colorado,State Data,3/24/20,912,7701,11,5694287,16.02,84,35,7,28.039425,22.01992042
9,Colorado,State Data,3/25/20,1086,8064,19,5694287,19.07,148,36,9,28.039425,22.01992042
10,Colorado,State Data,3/26/20,1430,10122,24,5694287,25.11,184,39,9,28.039425,22.01992042
11,Colorado,State Data,3/27/20,1734,11676,31,5694287,30.45,239,42,9,28.039425,22.01992042
12,Colorado,State Data,3/28/20,2061,13276,44,5694287,36.19,274,44,10,28.039425,22.01992042
13,Colorado,State Data,3/29/20,2307,14470,47,5694287,40.51,326,46,10,28.039425,22.01992042
14,Colorado,State Data,3/30/20,2627,15364,51,5694287,46.13,414,47,14,28.039425,22.01992042
15,Colorado,State Data,3/31/20,2966,16849,69,5694287,52.09,509,50,16,28.039425,22.01992042
16,Colorado,State Data,4/1/20,3342,18645,80,5694287,58.69,620,50,17,28.039425,22.01992042
17,Colorado,State Data,4/2/20,3728,20411,97,5694287,65.47,710,51,21,28.039425,22.01992042
18,Colorado,State Data,4/3/20,4173,22071,111,5694287,73.28,823,53,27,28.039425,22.01992042
19,Colorado,State Data,4/4/20,4565,23900,126,5694287,80.17,875,54,30,28.039425,22.01992042
20,Colorado,State Data,4/5/20,4950,25773,140,5694287,86.93,924,54,37,28.039425,22.01992042
21,Colorado,State Data,4/6/20,5172,26875,150,5694287,90.83,994,54,41,28.039425,22.01992042
22,Colorado,State Data,4/7/20,5429,28094,179,5694287,95.34,1079,54,44,28.039425,22.01992042
23,Colorado,State Data,4/8/20,5655,29199,193,5694287,99.31,1162,54,48,28.039425,22.01992042
24,Colorado,State Data,4/9/20,6202,31180,226,5694287,108.92,1221,56,54,28.039425,22.01992042
25,Colorado,State Data,4/10/20,6510,32653,250,5694287,114.33,1312,56,59,28.039425,22.01992042
26,Colorado,State Data,4/11/20,6893,34873,274,5694287,121.05,1376,56,67,28.039425,22.01992042
27,Colorado,State Data,4/12/20,7303,37153,290,5694287,128.25,1417,56,68,28.039425,22.01992042
28,Colorado,State Data,4/13/20,7691,38742,308,5694287,135.07,1493,56,72,28.039425,22.01992042
29,Colorado,State Data,4/14/20,7941,39580,329,5694287,139.46,1556,56,78,28.039425,22.01992042
30,Colorado,State Data,4/15/20,8280,40533,357,5694287,145.41,1636,56,83,28.039425,22.01992042
31,Colorado,State Data,4/16/20,8675,41830,374,5694287,152.35,1693,56,93,28.039425,22.01992042
32,Colorado,State Data,4/17/20,9047,43307,391,5694287,158.88,1755,57,100,28.039425,22.01992042
33,Colorado,State Data,4/18/20,9433,44606,411,5694287,165.66,1797,56,107,28.039425,22.01992042
34,Colorado,State Data,4/19/20,9730,46195,422,5694287,170.87,1813,56,111,28.039425,22.01992042
35,Colorado,State Data,4/20/20,10106,47466,449,5694287,177.48,1880,56,113,28.039425,22.01992042
