OBJECTID,Name,Desc_,Date,Cases,Tested,Deaths,DthCOVID19,Population,Rate,Hosp,Counties,Outbreaks,Shape__Area,Shape__Length
1,Colorado,State Data,03/17/2020,183,1790,2,,5694287,3.21,20,19,,28.0394250010993,22.0199204177256
2,Colorado,State Data,03/18/2020,216,2328,2,,5694287,3.79,26,20,,28.0394250010993,22.0199204177256
3,Colorado,State Data,03/19/2020,277,2952,2,,5694287,4.86,42,22,,28.0394250010993,22.0199204177256
4,Colorado,State Data,03/20/2020,363,3680,4,,5694287,6.37,44,24,,28.0394250010993,22.0199204177256
5,Colorado,State Data,03/21/2020,475,4550,5,,5694287,8.34,49,29,,28.0394250010993,22.0199204177256
6,Colorado,State Data,03/22/2020,591,5436,6,,5694287,10.38,58,29,5,28.0394250010993,22.0199204177256
7,Colorado,State Data,03/23/2020,720,6224,7,,5694287,12.64,72,31,5,28.0394250010993,22.0199204177256
8,Colorado,State Data,03/24/2020,912,7701,11,,5694287,16.02,84,35,7,28.0394250010993,22.0199204177256
9,Colorado,State Data,03/25/2020,1086,8064,19,,5694287,19.07,148,36,9,28.0394250010993,22.0199204177256
10,Colorado,State Data,03/26/2020,1430,10122,24,,5694287,25.11,184,39,9,28.0394250010993,22.0199204177256
11,Colorado,State Data,03/27/2020,1734,11676,31,,5694287,30.45,239,42,9,28.0394250010993,22.0199204177256
12,Colorado,State Data,03/28/2020,2061,13276,44,,5694287,36.19,274,44,10,28.0394250010993,22.0199204177256
13,Colorado,State Data,03/29/2020,2307,14470,47,,5694287,40.51,326,46,10,28.0394250010993,22.0199204177256
14,Colorado,State Data,03/30/2020,2627,15364,51,,5694287,46.13,414,47,14,28.0394250010993,22.0199204177256
15,Colorado,State Data,03/31/2020,2966,16849,69,,5694287,52.09,509,50,16,28.0394250010993,22.0199204177256
16,Colorado,State Data,04/01/2020,3342,18645,80,,5694287,58.69,620,50,17,28.0394250010993,22.0199204177256
17,Colorado,State Data,04/02/2020,3728,20411,97,,5694287,65.47,710,51,21,28.0394250010993,22.0199204177256
18,Colorado,State Data,04/03/2020,4173,22071,111,,5694287,73.28,823,53,27,28.0394250010993,22.0199204177256
19,Colorado,State Data,04/04/2020,4565,23900,126,,5694287,80.17,875,54,30,28.0394250010993,22.0199204177256
20,Colorado,State Data,04/05/2020,4950,25773,140,,5694287,86.93,924,54,37,28.0394250010993,22.0199204177256
21,Colorado,State Data,04/06/2020,5172,26875,150,,5694287,90.83,994,54,41,28.0394250010993,22.0199204177256
22,Colorado,State Data,04/07/2020,5429,28094,179,,5694287,95.34,1079,54,44,28.0394250010993,22.0199204177256
23,Colorado,State Data,04/08/2020,5655,29199,193,,5694287,99.31,1162,54,48,28.0394250010993,22.0199204177256
24,Colorado,State Data,04/09/2020,6202,31180,226,,5694287,108.92,1221,56,54,28.0394250010993,22.0199204177256
25,Colorado,State Data,04/10/2020,6510,32653,250,,5694287,114.33,1312,56,59,28.0394250010993,22.0199204177256
26,Colorado,State Data,04/11/2020,6893,34873,274,,5694287,121.05,1376,56,67,28.0394250010993,22.0199204177256
27,Colorado,State Data,04/12/2020,7303,37153,290,,5694287,128.25,1417,56,68,28.0394250010993,22.0199204177256
28,Colorado,State Data,04/13/2020,7691,38742,308,,5694287,135.07,1493,56,72,28.0394250010993,22.0199204177256
29,Colorado,State Data,04/14/2020,7941,39580,329,,5694287,139.46,1556,56,78,28.0394250010993,22.0199204177256
30,Colorado,State Data,04/15/2020,8280,40533,357,,5694287,145.41,1636,56,83,28.0394250010993,22.0199204177256
31,Colorado,State Data,04/16/2020,8675,41830,374,,5694287,152.35,1693,56,93,28.0394250010993,22.0199204177256
32,Colorado,State Data,04/17/2020,9047,43307,391,,5694287,158.88,1755,57,100,28.0394250010993,22.0199204177256
33,Colorado,State Data,04/18/2020,9433,44606,411,,5694287,165.66,1797,56,107,28.0394250010993,22.0199204177256
34,Colorado,State Data,04/19/2020,9730,46195,422,,5694287,170.87,1813,56,111,28.0394250010993,22.0199204177256
35,Colorado,State Data,04/20/2020,10106,47466,449,,5694287,177.48,1880,56,113,28.0394250010993,22.0199204177256
36,Colorado,State Data,04/21/2020,10447,48704,486,,5694287,183.46,2003,56,119,28.0394250010993,22.0199204177256
37,Colorado,State Data,04/22/2020,10878,50645,508,,5694287,191.03,2123,56,123,28.0394250010993,22.0199204177256
38,Colorado,State Data,04/23/2020,11262,52324,552,,5694287,197.78,2237,56,130,28.0394250010993,22.0199204177256
39,Colorado,State Data,04/24/2020,12255,56789,674,,5694287,215.22,2366,56,134,28.0394250010993,22.0199204177256
40,Colorado,State Data,04/25/2020,12968,59791,672,,5694287,227.74,2410,57,141,28.0394250010993,22.0199204177256
41,Colorado,State Data,04/26/2020,13441,63274,680,,5694287,236.04,2438,57,143,28.0394250010993,22.0199204177256
42,Colorado,State Data,04/27/2020,13879,66341,706,,5694287,243.74,2485,56,144,28.0394250010993,22.0199204177256
43,Colorado,State Data,04/28/2020,14316,67094,736,,5694287,251.41,2571,56,149,28.0394250010993,22.0199204177256
44,Colorado,State Data,04/29/2020,14758,69449,766,,5694287,259.17,2621,56,157,28.0394250010993,22.0199204177256
45,Colorado,State Data,04/30/2020,15284,72390,777,,5694287,268.37,2697,56,159,28.0394250010993,22.0199204177256
46,Colorado,State Data,05/01/2020,15768,75259,820,,5694287,276.91,2747,56,161,28.0394250010993,22.0199204177256
47,Colorado,State Data,05/02/2020,16225,78179,832,,5694287,284.93,2793,56,163,28.0394250010993,22.0199204177256
48,Colorado,State Data,05/03/2020,16635,81352,842,,5694287,292.13,2799,56,163,28.0394250010993,22.0199204177256
49,Colorado,State Data,05/04/2020,16907,83266,851,,5694287,296.91,2838,56,163,28.0394250010993,22.0199204177256
