OBJECTID,section,category,description,date,metric,value,report_date
1,State Data,Colorado COVID-19 Data,Cumulative counts to date,02/03/2021,Cases,400851,02/04/2021
2,State Data,Colorado COVID-19 Data,Cumulative counts to date,02/03/2021,Hospitalized,22176,02/04/2021
3,State Data,Colorado COVID-19 Data,Cumulative counts to date,02/03/2021,Counties,64,02/04/2021
4,State Data,Colorado COVID-19 Data,Cumulative counts to date,02/03/2021,People Tested,2427143,02/04/2021
5,State Data,Colorado COVID-19 Data,Cumulative counts to date,02/03/2021,Test Encounters,5551135,02/04/2021
6,State Data,Colorado COVID-19 Data,Cumulative counts to date,02/03/2021,Deaths Among Cases,5677,02/04/2021
7,State Data,Colorado COVID-19 Data,Cumulative counts to date,02/03/2021,Deaths Due to COVID-19,5431,02/04/2021
8,State Data,Colorado COVID-19 Data,Cumulative counts to date,02/03/2021,Outbreaks,3599,02/04/2021
9,State Data,Colorado COVID-19 Data,Cumulative counts to date,02/03/2021,Confirmed cases,380624,02/04/2021
10,State Data,Colorado COVID-19 Data,Cumulative counts to date,02/03/2021,Percent of confirmed cases,0.95,02/04/2021
11,State Data,Colorado COVID-19 Data,Cumulative counts to date,02/03/2021,Probable cases,20227,02/04/2021
12,State Data,Colorado COVID-19 Data,Cumulative counts to date,02/03/2021,Percent of probable cases,0.051,02/04/2021
13,State Data,Colorado COVID-19 Data,Cumulative counts to date,02/03/2021,Confirmed deaths among cases,4970,02/04/2021
14,State Data,Colorado COVID-19 Data,Cumulative counts to date,02/03/2021,Percent of confirmed deaths among cases,0.875,02/04/2021
15,State Data,Colorado COVID-19 Data,Cumulative counts to date,02/03/2021,Probable deaths among cases,707,02/04/2021
16,State Data,Colorado COVID-19 Data,Cumulative counts to date,02/03/2021,Percent of probable deaths among cases,0.124,02/04/2021
17,State Metrics,Cases,Cases Reported Today,02/03/2021,Current,1256,02/04/2021
18,State Metrics,Cases,Cases Reported Today,02/03/2021,Change,-30,02/04/2021
19,State Metrics,Cases,Cases Added with Previous Reported Date,02/03/2021,Current,388,02/04/2021
20,State Metrics,Cases,7-Day Moving Average of Cases Reported,02/03/2021,Current,1212,02/04/2021
21,State Metrics,Cases,7-Day Moving Average of Cases Reported,02/03/2021,Change,-39,02/04/2021
22,State Metrics,Cases,2-Week Cumulative Incidence Per 100K People,02/03/2021,Current,322.1,02/04/2021
23,State Metrics,Cases,2-Week Cumulative Incidence Per 100K People,02/03/2021,Change,-13.5,02/04/2021
24,State Metrics,Hospitalizations,New Hospital Admissions,02/03/2021,Current,70,02/04/2021
25,State Metrics,Hospitalizations,New Hospital Admissions,02/03/2021,Change,-2,02/04/2021
26,State Metrics,Hospitalizations,7-Day Moving Average of New Hospitalizations,02/03/2021,Current,63,02/04/2021
27,State Metrics,Hospitalizations,7-Day Moving Average of New Hospitalizations,02/03/2021,Change,-1,02/04/2021
28,State Metrics,Hospitalizations,Adult Critical Care Ventilators in Use,02/03/2021,Current,0.27,02/04/2021
29,State Metrics,Hospitalizations,Available Hospital Beds Occupied by Confirmed and Suspected COVID Patients,02/03/2021,Current,0.06,02/04/2021
30,State Metrics,Positivity and COVID Visits,State Positivity Rate,02/03/2021,Current,0.039,02/04/2021
31,State Metrics,Positivity and COVID Visits,State Positivity Rate,02/03/2021,Change,0.002,02/04/2021
32,State Metrics,Positivity and COVID Visits,State 7-Day Positivity Rate,02/03/2021,Current,0.044,02/04/2021
33,State Metrics,Positivity and COVID Visits,State 7-Day Positivity Rate,02/03/2021,Change,-0.001,02/04/2021
34,State Metrics,Positivity and COVID Visits,Previous Week Emergency Department Syndromic COVID Visits,02/03/2021,Current,0.023,02/04/2021
35,State Metrics,Positivity and COVID Visits,Previous Week Emergency Department Syndromic COVID Visits,02/03/2021,Change,-0.007,02/04/2021
36,State Metrics,Positivity and COVID Visits,Previous Week Outpatient Syndromic COVID Visits,02/03/2021,Current,0.041,02/04/2021
37,State Metrics,Positivity and COVID Visits,Previous Week Outpatient Syndromic COVID Visits,02/03/2021,Change,-0.002,02/04/2021
38,State Metrics,Testing,"Tests per 1,000 People",02/03/2021,Current,5.7,02/04/2021
39,State Metrics,Testing,"Tests per 1,000 People",02/03/2021,Change,-0.1,02/04/2021
40,State Metrics,Testing,"7-Day Average of Tests per 1,000 People",02/03/2021,Current,4.7,02/04/2021
41,State Metrics,Testing,"7-Day Average of Tests per 1,000 People",02/03/2021,Change,0,02/04/2021
42,State Metrics,Testing,New Individual People Tested,02/03/2021,Current,7777,02/04/2021
43,State Metrics,Testing,New Individual People Tested,02/03/2021,Change,-74,02/04/2021
44,State Metrics,Testing,New Test Encounters,02/03/2021,Current,32835,02/04/2021
45,State Metrics,Testing,New Test Encounters,02/03/2021,Change,-371,02/04/2021
46,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,03/05/2020,Counts,7,02/04/2021
47,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,03/06/2020,Counts,1,02/04/2021
48,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,03/07/2020,Counts,2,02/04/2021
49,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,03/08/2020,Counts,1,02/04/2021
50,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,03/09/2020,Counts,6,02/04/2021
51,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,03/10/2020,Counts,6,02/04/2021
52,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,03/11/2020,Counts,20,02/04/2021
