OBJECTID,Name,Population,desc_,attribute,attr_date,metric,value,rep_date,Shape__Area,Shape__Length
1,Colorado,5694287,COVID-19 in Colorado by Age Group,0-9,,Percent of Cases,1.09,3/17/20,28.039425,22.01992042
2,Colorado,5694287,COVID-19 in Colorado by Age Group,19-Oct,,Percent of Cases,3.83,3/17/20,28.039425,22.01992042
3,Colorado,5694287,COVID-19 in Colorado by Age Group,20-29,,Percent of Cases,10.93,3/17/20,28.039425,22.01992042
4,Colorado,5694287,COVID-19 in Colorado by Age Group,30-39,,Percent of Cases,21.31,3/17/20,28.039425,22.01992042
5,Colorado,5694287,COVID-19 in Colorado by Age Group,40-49,,Percent of Cases,19.13,3/17/20,28.039425,22.01992042
6,Colorado,5694287,COVID-19 in Colorado by Age Group,50-59,,Percent of Cases,18003,3/17/20,28.039425,22.01992042
7,Colorado,5694287,COVID-19 in Colorado by Age Group,60-69,,Percent of Cases,12.57,3/17/20,28.039425,22.01992042
8,Colorado,5694287,COVID-19 in Colorado by Age Group,70-79,,Percent of Cases,8.2,3/17/20,28.039425,22.01992042
9,Colorado,5694287,COVID-19 in Colorado by Age Group,80+,,Percent of Cases,3.28,3/17/20,28.039425,22.01992042
10,Colorado,5694287,COVID-19 in Colorado by Age Group,Unknown,,Percent of Cases,1.64,3/17/20,28.039425,22.01992042
11,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,2/17/20,Cases,1,3/17/20,28.039425,22.01992042
12,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,2/18/20,Cases,1,3/17/20,28.039425,22.01992042
13,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,2/19/20,Cases,1,3/17/20,28.039425,22.01992042
14,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,2/20/20,Cases,3,3/17/20,28.039425,22.01992042
15,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,2/23/20,Cases,1,3/17/20,28.039425,22.01992042
16,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,2/26/20,Cases,1,3/17/20,28.039425,22.01992042
17,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,2/27/20,Cases,1,3/17/20,28.039425,22.01992042
18,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,2/28/20,Cases,2,3/17/20,28.039425,22.01992042
19,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,2/29/20,Cases,2,3/17/20,28.039425,22.01992042
20,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/1/20,Cases,9,3/17/20,28.039425,22.01992042
21,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/2/20,Cases,6,3/17/20,28.039425,22.01992042
22,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/3/20,Cases,10,3/17/20,28.039425,22.01992042
23,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/4/20,Cases,11,3/17/20,28.039425,22.01992042
24,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/5/20,Cases,3,3/17/20,28.039425,22.01992042
25,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/6/20,Cases,13,3/17/20,28.039425,22.01992042
26,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/7/20,Cases,11,3/17/20,28.039425,22.01992042
27,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/8/20,Cases,16,3/17/20,28.039425,22.01992042
28,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/9/20,Cases,11,3/17/20,28.039425,22.01992042
29,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/10/20,Cases,21,3/17/20,28.039425,22.01992042
30,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/11/20,Cases,8,3/17/20,28.039425,22.01992042
31,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/12/20,Cases,2,3/17/20,28.039425,22.01992042
32,Colorado,5694287,COVID-19 in Colorado by Age Group,0-9,,Percent of Cases,0.46,3/18/20,28.039425,22.01992042
33,Colorado,5694287,COVID-19 in Colorado by Age Group,19-Oct,,Percent of Cases,4.17,3/18/20,28.039425,22.01992042
34,Colorado,5694287,COVID-19 in Colorado by Age Group,20-29,,Percent of Cases,12.5,3/18/20,28.039425,22.01992042
35,Colorado,5694287,COVID-19 in Colorado by Age Group,30-39,,Percent of Cases,18.52,3/18/20,28.039425,22.01992042
36,Colorado,5694287,COVID-19 in Colorado by Age Group,40-49,,Percent of Cases,18.98,3/18/20,28.039425,22.01992042
37,Colorado,5694287,COVID-19 in Colorado by Age Group,50-59,,Percent of Cases,18.52,3/18/20,28.039425,22.01992042
38,Colorado,5694287,COVID-19 in Colorado by Age Group,60-69,,Percent of Cases,13.43,3/18/20,28.039425,22.01992042
39,Colorado,5694287,COVID-19 in Colorado by Age Group,70-79,,Percent of Cases,8.33,3/18/20,28.039425,22.01992042
40,Colorado,5694287,COVID-19 in Colorado by Age Group,80+,,Percent of Cases,3.24,3/18/20,28.039425,22.01992042
41,Colorado,5694287,COVID-19 in Colorado by Age Group,Unknown,,Percent of Cases,1.85,3/18/20,28.039425,22.01992042
42,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,2/18/20,Cases,1,3/18/20,28.039425,22.01992042
43,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,2/19/20,Cases,1,3/18/20,28.039425,22.01992042
44,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,2/20/20,Cases,3,3/18/20,28.039425,22.01992042
45,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,2/23/20,Cases,1,3/18/20,28.039425,22.01992042
46,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,2/26/20,Cases,1,3/18/20,28.039425,22.01992042
47,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,2/27/20,Cases,1,3/18/20,28.039425,22.01992042
48,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,2/28/20,Cases,2,3/18/20,28.039425,22.01992042
49,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,2/29/20,Cases,2,3/18/20,28.039425,22.01992042
50,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/1/20,Cases,9,3/18/20,28.039425,22.01992042
51,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/2/20,Cases,7,3/18/20,28.039425,22.01992042
52,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/3/20,Cases,10,3/18/20,28.039425,22.01992042
53,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/4/20,Cases,14,3/18/20,28.039425,22.01992042
54,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/5/20,Cases,3,3/18/20,28.039425,22.01992042
55,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/6/20,Cases,12,3/18/20,28.039425,22.01992042
56,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/7/20,Cases,11,3/18/20,28.039425,22.01992042
57,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/8/20,Cases,16,3/18/20,28.039425,22.01992042
58,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/9/20,Cases,12,3/18/20,28.039425,22.01992042
59,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/10/20,Cases,23,3/18/20,28.039425,22.01992042
60,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/11/20,Cases,10,3/18/20,28.039425,22.01992042
61,Colorado,5694287,Cases of COVID-19 in Colorado by Date of Illness Onset,,3/12/20,Cases,2,3/18/20,28.039425,22.01992042
62,Colorado,5694287,COVID-19 in Colorado by Age Group,0-9,,Percent of Cases,0.72,3/19/20,28.039425,22.01992042
63,Colorado,5694287,COVID-19 in Colorado by Age Group,19-Oct,,Percent of Cases,4.33,3/19/20,28.039425,22.01992042
