Name,Population,Desc_,attribute,attr_date,metric,value,rep_date,ObjectId
Colorado,5694287,COVID-19 in Colorado by Age Group,0-9,,Percent of Cases,1.09,03/17/2020,1
Colorado,5694287,COVID-19 in Colorado by Age Group,10-19,,Percent of Cases,2.52,03/24/2020,2
Colorado,5694287,COVID-19 in Colorado by Age Group,60-69,,Percent of Cases,14.33,03/20/2020,3
Colorado,5694287,COVID-19 in Colorado by Age Group,60-69,,Percent of Cases,13.87,03/22/2020,4
Colorado,5694287,COVID-19 in Colorado by Age Group,10-19,,Percent of Cases,3.83,03/17/2020,5
Colorado,5694287,COVID-19 in Colorado by Age Group,70-79,,Percent of Cases,10.19,03/20/2020,6
Colorado,5694287,COVID-19 in Colorado by Age Group,20-29,,Percent of Cases,10.93,03/17/2020,7
Colorado,5694287,COVID-19 in Colorado by Age Group,80+,,Percent of Cases,3.03,03/20/2020,8
Colorado,5694287,COVID-19 in Colorado by Age Group,70-79,,Percent of Cases,10.15,03/22/2020,9
Colorado,5694287,COVID-19 in Colorado by Age Group,30-39,,Percent of Cases,21.31,03/17/2020,10
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","20-29, Not Hospitalized",,Cases,299,03/28/2020,11
Colorado,5694287,COVID-19 in Colorado by Age Group,40-49,,Percent of Cases,19.13,03/17/2020,12
Colorado,5694287,COVID-19 in Colorado by Age Group,80+,,Percent of Cases,4.57,03/22/2020,13
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","0-9, Not Hospitalized",,Cases,3,03/20/2020,14
Colorado,5694287,COVID-19 in Colorado by Age Group,Unknown,,Percent of Cases,0.51,03/22/2020,15
Colorado,5694287,COVID-19 in Colorado by Age Group,50-59,,Percent of Cases,18003,03/17/2020,16
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","30-39, Hospitalized",,Cases,19,03/28/2020,17
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","10-19, Not Hospitalized",,Cases,15,03/20/2020,18
Colorado,5694287,COVID-19 in Colorado by Age Group,60-69,,Percent of Cases,12.57,03/17/2020,19
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","0-9, Not Hospitalized",,Cases,5,03/22/2020,20
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","30-39, Not Hospitalized",,Cases,332,03/28/2020,21
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","20-29, Not Hospitalized",,Cases,53,03/20/2020,22
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","10-19, Not Hospitalized",,Cases,17,03/22/2020,23
Colorado,5694287,COVID-19 in Colorado by Age Group,70-79,,Percent of Cases,8.2,03/17/2020,24
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","40-49, Deaths",,Cases,2,03/28/2020,25
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","40-49, Hospitalized",,Cases,37,03/28/2020,26
Colorado,5694287,COVID-19 in Colorado by Age Group,80+,,Percent of Cases,3.28,03/17/2020,27
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","20-29, Not Hospitalized",,Cases,83,03/22/2020,28
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","30-39, Hospitalized",,Cases,4,03/20/2020,29
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","30-39, Hospitalized",,Cases,6,03/22/2020,30
Colorado,5694287,COVID-19 in Colorado by Age Group,Unknown,,Percent of Cases,1.64,03/17/2020,31
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","40-49, Not Hospitalized",,Cases,284,03/28/2020,32
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","30-39, Not Hospitalized",,Cases,62,03/20/2020,33
Colorado,5694287,COVID-19 in Colorado by Age Group,0-9,,Percent of Cases,0.46,03/18/2020,34
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","30-39, Not Hospitalized",,Cases,96,03/22/2020,35
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","50-59, Deaths",,Cases,3,03/28/2020,36
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","40-49, Hospitalized",,Cases,2,03/20/2020,37
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","50-59, Not Hospitalized",,Cases,144,03/25/2020,38
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","50-59, Hospitalized",,Cases,55,03/28/2020,39
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","50-59, Not Hospitalized",,Cases,294,03/28/2020,40
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","60-69, Deaths",,Cases,4,03/28/2020,41
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","60-69, Hospitalized",,Cases,53,03/28/2020,42
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","60-69, Not Hospitalized",,Cases,236,03/28/2020,43
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","70-79, Deaths",,Cases,14,03/28/2020,44
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","70-79, Hospitalized",,Cases,48,03/28/2020,45
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","70-79, Not Hospitalized",,Cases,158,03/28/2020,46
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","80+, Deaths",,Cases,21,03/28/2020,47
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","80+, Hospitalized",,Cases,30,03/28/2020,48
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","80+, Not Hospitalized",,Cases,84,03/28/2020,49
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","Unknown, Not Hospitalized",,Cases,9,03/28/2020,50
Colorado,5694287,COVID-19 in Colorado by Sex,Female,,Percent of Cases,52.26,03/28/2020,51
Colorado,5694287,COVID-19 in Colorado by Sex,Male,,Percent of Cases,47.16,03/28/2020,52
Colorado,5694287,COVID-19 in Colorado by Sex,Unknown,,Percent of Cases,0.58,03/28/2020,53
Colorado,5694287,COVID-19 in Colorado by Age Group,0-9,,Percent of Cases,1,03/29/2020,54
Colorado,5694287,COVID-19 in Colorado by Age Group,10-19,,Percent of Cases,2.12,03/29/2020,55
Colorado,5694287,COVID-19 in Colorado by Age Group,20-29,,Percent of Cases,14.87,03/29/2020,56
Colorado,5694287,COVID-19 in Colorado by Age Group,30-39,,Percent of Cases,16.91,03/29/2020,57
Colorado,5694287,COVID-19 in Colorado by Age Group,40-49,,Percent of Cases,15.43,03/29/2020,58
Colorado,5694287,COVID-19 in Colorado by Age Group,50-59,,Percent of Cases,17.64,03/29/2020,59
Colorado,5694287,COVID-19 in Colorado by Age Group,60-69,,Percent of Cases,14.39,03/29/2020,60
Colorado,5694287,COVID-19 in Colorado by Age Group,70-79,,Percent of Cases,10.62,03/29/2020,61
Colorado,5694287,COVID-19 in Colorado by Age Group,80+,,Percent of Cases,6.59,03/29/2020,62
Colorado,5694287,COVID-19 in Colorado by Age Group,Unknown,,Percent of Cases,0.43,03/29/2020,63
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","0-9, Hospitalized",,Cases,1,03/29/2020,64
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","0-9, Not Hospitalized",,Cases,22,03/29/2020,65
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","10-19, Not Hospitalized",,Cases,49,03/29/2020,66
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","20-29, Hospitalized",,Cases,9,03/29/2020,67
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","20-29, Not Hospitalized",,Cases,334,03/29/2020,68
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","30-39, Hospitalized",,Cases,23,03/29/2020,69
Colorado,5694287,COVID-19 in Colorado by Age Group,20-29,,Percent of Cases,13.38,03/24/2020,70
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","30-39, Not Hospitalized",,Cases,367,03/29/2020,71
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","40-49, Deaths",,Cases,2,03/29/2020,72
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","40-49, Hospitalized",,Cases,40,03/29/2020,73
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","40-49, Not Hospitalized",,Cases,314,03/29/2020,74
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","50-59, Deaths",,Cases,3,03/29/2020,75
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","50-59, Hospitalized",,Cases,65,03/29/2020,76
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","50-59, Not Hospitalized",,Cases,339,03/29/2020,77
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","60-69, Deaths",,Cases,5,03/29/2020,78
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","60-69, Hospitalized",,Cases,64,03/29/2020,79
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","60-69, Not Hospitalized",,Cases,263,03/29/2020,80
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","70-79, Deaths",,Cases,15,03/29/2020,81
Colorado,5694287,"Cases of COVID-19 Reported in Colorado by Age Group, Hospitalization, and Outcome","70-79, Hospitalized",,Cases,59,03/29/2020,82
Colorado,5694287,COVID-19 in Colorado by Age Group,30-39,,Percent of Cases,17.21,03/24/2020,83
Colorado,5694287,COVID-19 in Colorado by Age Group,40-49,,Percent of Cases,19.19,03/24/2020,84
Colorado,5694287,COVID-19 in Colorado by Age Group,50-59,,Percent of Cases,16.23,03/24/2020,85
Colorado,5694287,COVID-19 in Colorado by Age Group,60-69,,Percent of Cases,13.93,03/24/2020,86
