section,category,description,date,metric,value,report_date,ObjectId
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,02/12/2020,Cumulative,21,11/20/2020,1
Case Summary,Cases,3-Day Average of COVID-19 Cases in Colorado by Date of Illness Onset,02/12/2020,3-Day Moving Average of Cases,2.333,11/20/2020,2
Case Summary,Cases,7-Day Average of COVID-19 Cases in Colorado by Date of Illness Onset,02/12/2020,7-Day Moving Average of Cases,1.571,11/20/2020,3
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,02/13/2020,Counts,1,11/20/2020,4
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,02/13/2020,Cumulative,1,11/20/2020,5
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,02/13/2020,Counts,3,11/20/2020,6
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,02/13/2020,Cumulative,24,11/20/2020,7
Case Summary,Cases,3-Day Average of COVID-19 Cases in Colorado by Date of Illness Onset,02/13/2020,3-Day Moving Average of Cases,1,11/20/2020,8
Case Summary,Cases,7-Day Average of COVID-19 Cases in Colorado by Date of Illness Onset,02/13/2020,7-Day Moving Average of Cases,1.857,11/20/2020,9
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,02/14/2020,Counts,0,11/20/2020,10
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,02/14/2020,Cumulative,1,11/20/2020,11
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,02/14/2020,Counts,1,11/20/2020,12
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,02/14/2020,Cumulative,25,11/20/2020,13
Case Summary,Cases,3-Day Average of COVID-19 Cases in Colorado by Date of Illness Onset,02/14/2020,3-Day Moving Average of Cases,1.333,11/20/2020,14
Case Summary,Cases,7-Day Average of COVID-19 Cases in Colorado by Date of Illness Onset,02/14/2020,7-Day Moving Average of Cases,2,11/20/2020,15
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,02/15/2020,Counts,0,11/20/2020,16
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,02/15/2020,Cumulative,1,11/20/2020,17
Case Summary,Cases,3-Day Average of COVID-19 Cases in Colorado by Date Reported to the State,02/15/2020,3-Day Moving Average of Cases,0.333,11/20/2020,18
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,02/15/2020,Counts,7,11/20/2020,19
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,02/15/2020,Cumulative,32,11/20/2020,20
Case Summary,Cases,3-Day Average of COVID-19 Cases in Colorado by Date of Illness Onset,02/15/2020,3-Day Moving Average of Cases,3.667,11/20/2020,21
Case Summary,Cases,7-Day Average of COVID-19 Cases in Colorado by Date of Illness Onset,02/15/2020,7-Day Moving Average of Cases,2.714,11/20/2020,22
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,02/16/2020,Counts,0,11/20/2020,23
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,02/16/2020,Cumulative,1,11/20/2020,24
Case Summary,Cases,3-Day Average of COVID-19 Cases in Colorado by Date Reported to the State,02/16/2020,3-Day Moving Average of Cases,0,11/20/2020,25
Case Summary,Cases,Cases of COVID-19 in Colorado by Week Reported to the State,02/16/2020,Counts,0,11/20/2020,26
Case Summary,Cases,Cases of COVID-19 in Colorado by Week Reported to the State,02/16/2020,Percent Change,-1,11/20/2020,27
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Week Reported to the State,02/16/2020,Cumulative,1,11/20/2020,28
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,02/16/2020,Counts,0,11/20/2020,29
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,02/16/2020,Cumulative,32,11/20/2020,30
Case Summary,Cases,3-Day Average of COVID-19 Cases in Colorado by Date of Illness Onset,02/16/2020,3-Day Moving Average of Cases,2.667,11/20/2020,31
