OBJECTID,section,category,description,date,metric,value,report_date
1,State Data,Colorado COVID-19 Data,Cumulative counts to date,01/30/2021,Cases,396179,01/31/2021
2,State Data,Colorado COVID-19 Data,Cumulative counts to date,01/30/2021,Hospitalized,21833,01/31/2021
3,State Data,Colorado COVID-19 Data,Cumulative counts to date,01/30/2021,Counties,64,01/31/2021
4,State Data,Colorado COVID-19 Data,Cumulative counts to date,01/30/2021,People Tested,2400563,01/31/2021
5,State Data,Colorado COVID-19 Data,Cumulative counts to date,01/30/2021,Test Encounters,5452050,01/31/2021
6,State Data,Colorado COVID-19 Data,Cumulative counts to date,01/30/2021,Deaths Among Cases,5637,01/31/2021
7,State Data,Colorado COVID-19 Data,Cumulative counts to date,01/30/2021,Deaths Due to COVID-19,4928,01/31/2021
8,State Data,Colorado COVID-19 Data,Cumulative counts to date,01/30/2021,Outbreaks,3502,01/31/2021
9,State Data,Colorado COVID-19 Data,Cumulative counts to date,01/30/2021,Confirmed cases,376567,01/31/2021
10,State Data,Colorado COVID-19 Data,Cumulative counts to date,01/30/2021,Percent of confirmed cases,0.951,01/31/2021
11,State Data,Colorado COVID-19 Data,Cumulative counts to date,01/30/2021,Probable cases,19612,01/31/2021
12,State Data,Colorado COVID-19 Data,Cumulative counts to date,01/30/2021,Percent of probable cases,0.05,01/31/2021
13,State Data,Colorado COVID-19 Data,Cumulative counts to date,01/30/2021,Confirmed deaths among cases,4929,01/31/2021
14,State Data,Colorado COVID-19 Data,Cumulative counts to date,01/30/2021,Percent of confirmed deaths among cases,0.874,01/31/2021
15,State Data,Colorado COVID-19 Data,Cumulative counts to date,01/30/2021,Probable deaths among cases,708,01/31/2021
16,State Data,Colorado COVID-19 Data,Cumulative counts to date,01/30/2021,Percent of probable deaths among cases,0.126,01/31/2021
17,State Metrics,Cases,Cases Reported Today,01/30/2021,Current,1036,01/31/2021
18,State Metrics,Cases,Cases Reported Today,01/30/2021,Change,-370,01/31/2021
19,State Metrics,Cases,Cases Added with Previous Reported Date,01/30/2021,Current,142,01/31/2021
20,State Metrics,Cases,7-Day Moving Average of Cases Reported,01/30/2021,Current,1291,01/31/2021
21,State Metrics,Cases,7-Day Moving Average of Cases Reported,01/30/2021,Change,-43,01/31/2021
22,State Metrics,Cases,2-Week Cumulative Incidence Per 100K People,01/30/2021,Current,348.1,01/31/2021
23,State Metrics,Cases,2-Week Cumulative Incidence Per 100K People,01/30/2021,Change,-8.7,01/31/2021
24,State Metrics,Hospitalizations,New Hospital Admissions,01/30/2021,Current,59,01/31/2021
25,State Metrics,Hospitalizations,New Hospital Admissions,01/30/2021,Change,32,01/31/2021
26,State Metrics,Hospitalizations,7-Day Moving Average of New Hospitalizations,01/30/2021,Current,77,01/31/2021
27,State Metrics,Hospitalizations,7-Day Moving Average of New Hospitalizations,01/30/2021,Change,-10,01/31/2021
28,State Metrics,Hospitalizations,Adult Critical Care Ventilators in Use,01/30/2021,Current,0.27,01/31/2021
29,State Metrics,Hospitalizations,Available Hospital Beds Occupied by Confirmed and Suspected COVID Patients,01/30/2021,Current,0.07,01/31/2021
30,State Metrics,Positivity and COVID Visits,State Positivity Rate,01/30/2021,Current,0.045,01/31/2021
31,State Metrics,Positivity and COVID Visits,State Positivity Rate,01/30/2021,Change,0,01/31/2021
32,State Metrics,Positivity and COVID Visits,State 7-Day Positivity Rate,01/30/2021,Current,0.049,01/31/2021
33,State Metrics,Positivity and COVID Visits,State 7-Day Positivity Rate,01/30/2021,Change,-0.001,01/31/2021
34,State Metrics,Positivity and COVID Visits,Previous Week Emergency Department Syndromic COVID Visits,01/30/2021,Current,0.03,01/31/2021
35,State Metrics,Positivity and COVID Visits,Previous Week Emergency Department Syndromic COVID Visits,01/30/2021,Change,0.003,01/31/2021
36,State Metrics,Positivity and COVID Visits,Previous Week Outpatient Syndromic COVID Visits,01/30/2021,Current,0.043,01/31/2021
37,State Metrics,Positivity and COVID Visits,Previous Week Outpatient Syndromic COVID Visits,01/30/2021,Change,0.003,01/31/2021
38,State Metrics,Testing,"Tests per 1,000 People",01/30/2021,Current,4.5,01/31/2021
39,State Metrics,Testing,"Tests per 1,000 People",01/30/2021,Change,-0.7,01/31/2021
40,State Metrics,Testing,"7-Day Average of Tests per 1,000 People",01/30/2021,Current,4.6,01/31/2021
41,State Metrics,Testing,"7-Day Average of Tests per 1,000 People",01/30/2021,Change,0,01/31/2021
42,State Metrics,Testing,New Individual People Tested,01/30/2021,Current,6811,01/31/2021
43,State Metrics,Testing,New Individual People Tested,01/30/2021,Change,-413,01/31/2021
44,State Metrics,Testing,New Test Encounters,01/30/2021,Current,25890,01/31/2021
45,State Metrics,Testing,New Test Encounters,01/30/2021,Change,-4118,01/31/2021
46,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,03/05/2020,Counts,7,01/31/2021
47,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,03/06/2020,Counts,1,01/31/2021
48,Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,03/07/2020,Counts,2,01/31/2021
