section,category,metric,type,date,value,publish_date,ObjectId
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,12/14/2020,192,01/09/2021,1
Vaccine Administration,Administration,Cumulative Daily,Pfizer,12/14/2020,192,01/09/2021,2
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,12/14/2020,0,01/09/2021,3
Vaccine Administration,Administration,Daily,All COVID Vaccines,12/14/2020,192,01/09/2021,4
Vaccine Administration,Administration,Daily,Pfizer,12/14/2020,192,01/09/2021,5
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,12/14/2020,0,01/09/2021,6
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,12/14/2020,192,01/10/2021,7
Vaccine Administration,Administration,Cumulative Daily,Pfizer,12/14/2020,192,01/10/2021,8
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,12/14/2020,0,01/10/2021,9
Vaccine Administration,Administration,Daily,All COVID Vaccines,12/14/2020,192,01/10/2021,10
Vaccine Administration,Administration,Daily,Pfizer,12/14/2020,192,01/10/2021,11
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,12/14/2020,0,01/10/2021,12
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,12/14/2020,192,01/11/2021,13
Vaccine Administration,Administration,Cumulative Daily,Pfizer,12/14/2020,192,01/11/2021,14
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,12/14/2020,0,01/11/2021,15
Vaccine Administration,Administration,Daily,All COVID Vaccines,12/14/2020,192,01/11/2021,16
Vaccine Administration,Administration,Daily,Pfizer,12/14/2020,192,01/11/2021,17
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,12/14/2020,0,01/11/2021,18
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,12/14/2020,192,01/12/2021,19
Vaccine Administration,Administration,Cumulative Daily,Pfizer,12/14/2020,192,01/12/2021,20
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,12/14/2020,0,01/12/2021,21
Vaccine Administration,Administration,Daily,All COVID Vaccines,12/14/2020,192,01/12/2021,22
Vaccine Administration,Administration,Daily,Pfizer,12/14/2020,192,01/12/2021,23
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,12/14/2020,0,01/12/2021,24
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,12/14/2020,192,01/13/2021,25
Vaccine Administration,Administration,Cumulative Daily,Pfizer,12/14/2020,192,01/13/2021,26
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,12/14/2020,0,01/13/2021,27
Vaccine Administration,Administration,Daily,All COVID Vaccines,12/14/2020,192,01/13/2021,28
Vaccine Administration,Administration,Daily,Pfizer,12/14/2020,192,01/13/2021,29
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,12/14/2020,0,01/13/2021,30
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,12/14/2020,192,01/14/2021,31
Vaccine Administration,Administration,Cumulative Daily,Pfizer,12/14/2020,192,01/14/2021,32
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,12/14/2020,0,01/14/2021,33
Vaccine Administration,Administration,Daily,All COVID Vaccines,12/14/2020,192,01/14/2021,34
Vaccine Administration,Administration,Daily,Pfizer,12/14/2020,192,01/14/2021,35
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,12/14/2020,0,01/14/2021,36
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,12/14/2020,192,01/15/2021,37
Vaccine Administration,Administration,Cumulative Daily,Pfizer,12/14/2020,192,01/15/2021,38
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,12/14/2020,0,01/15/2021,39
Vaccine Administration,Administration,Daily,All COVID Vaccines,12/14/2020,192,01/15/2021,40
Vaccine Administration,Administration,Daily,Pfizer,12/14/2020,192,01/15/2021,41
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,12/14/2020,0,01/15/2021,42
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,12/14/2020,192,01/16/2021,43
Vaccine Administration,Administration,Cumulative Daily,Pfizer,12/14/2020,192,01/16/2021,44
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,12/14/2020,0,01/16/2021,45
Vaccine Administration,Administration,Daily,All COVID Vaccines,12/14/2020,192,01/16/2021,46
Vaccine Administration,Administration,Daily,Pfizer,12/14/2020,192,01/16/2021,47
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,12/14/2020,0,01/16/2021,48
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,12/14/2020,192,01/17/2021,49
Vaccine Administration,Administration,Cumulative Daily,Pfizer,12/14/2020,192,01/17/2021,50
Vaccine Administration,Administration,Daily,Pfizer,12/14/2020,191,01/25/2021,51
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,12/14/2020,0,01/25/2021,52
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,12/14/2020,191,01/26/2021,53
Vaccine Administration,Administration,Cumulative Daily,Pfizer,12/14/2020,191,01/26/2021,54
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,12/14/2020,0,01/26/2021,55
Vaccine Administration,Administration,Daily,All COVID Vaccines,12/14/2020,191,01/26/2021,56
Vaccine Administration,Administration,Daily,Pfizer,12/14/2020,191,01/26/2021,57
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,12/14/2020,0,01/26/2021,58
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,12/14/2020,191,01/27/2021,59
Vaccine Administration,Administration,Cumulative Daily,Pfizer,12/14/2020,191,01/27/2021,60
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,12/14/2020,0,01/27/2021,61
Vaccine Administration,Administration,Daily,All COVID Vaccines,12/14/2020,191,01/27/2021,62
Vaccine Administration,Administration,Daily,Pfizer,12/14/2020,191,01/27/2021,63
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,12/14/2020,0,01/27/2021,64
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,12/14/2020,191,01/28/2021,65
Vaccine Administration,Administration,Cumulative Daily,Pfizer,12/14/2020,191,01/28/2021,66
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,12/14/2020,0,01/28/2021,67
Vaccine Administration,Administration,Daily,All COVID Vaccines,12/14/2020,191,01/28/2021,68
Vaccine Administration,Administration,Daily,Pfizer,12/14/2020,191,01/28/2021,69
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,12/14/2020,0,01/28/2021,70
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,12/14/2020,191,01/29/2021,71
Vaccine Administration,Administration,Cumulative Daily,Pfizer,12/14/2020,191,01/29/2021,72
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,12/14/2020,0,01/29/2021,73
Vaccine Administration,Administration,Daily,All COVID Vaccines,12/14/2020,191,01/29/2021,74
Vaccine Administration,Administration,Daily,Pfizer,12/14/2020,191,01/29/2021,75
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,12/14/2020,0,01/29/2021,76
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,12/14/2020,192,01/30/2021,77
Vaccine Administration,Administration,Cumulative Daily,Pfizer,12/14/2020,192,01/30/2021,78
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,12/14/2020,0,01/30/2021,79
Vaccine Administration,Administration,Daily,All COVID Vaccines,12/14/2020,192,01/30/2021,80
Vaccine Administration,Administration,Daily,Pfizer,12/14/2020,192,01/30/2021,81
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,12/14/2020,0,01/30/2021,82
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,12/14/2020,192,01/31/2021,83
Vaccine Administration,Administration,Cumulative Daily,Pfizer,12/14/2020,192,01/31/2021,84
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,12/14/2020,0,01/31/2021,85
Vaccine Administration,Administration,Daily,All COVID Vaccines,12/14/2020,192,01/31/2021,86
Vaccine Administration,Administration,Daily,Pfizer,12/14/2020,192,01/31/2021,87
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,12/14/2020,0,01/31/2021,88
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,12/14/2020,192,02/01/2021,89
Vaccine Administration,Administration,Cumulative Daily,Pfizer,12/14/2020,192,02/01/2021,90
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,12/14/2020,0,02/01/2021,91
Vaccine Administration,Administration,Daily,All COVID Vaccines,12/14/2020,192,02/01/2021,92
Vaccine Administration,Administration,Daily,Pfizer,12/14/2020,192,02/01/2021,93
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,12/14/2020,0,02/01/2021,94
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,12/14/2020,192,02/02/2021,95
Vaccine Administration,Administration,Cumulative Daily,Pfizer,12/14/2020,192,02/02/2021,96
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,12/14/2020,0,02/02/2021,97
Vaccine Administration,Administration,Daily,All COVID Vaccines,12/14/2020,192,02/02/2021,98
Vaccine Administration,Administration,Daily,Pfizer,12/14/2020,192,02/02/2021,99
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,12/14/2020,0,02/02/2021,100
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,12/15/2020,411,01/22/2021,101
Vaccine Administration,Administration,Cumulative Daily,Pfizer,12/15/2020,410,01/22/2021,102
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,12/15/2020,0,01/22/2021,103
Vaccine Administration,Administration,Daily,All COVID Vaccines,12/15/2020,219,01/22/2021,104
Vaccine Administration,Administration,Daily,Pfizer,12/15/2020,218,01/22/2021,105
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,12/15/2020,0,01/22/2021,106
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,12/15/2020,410,01/23/2021,107
Vaccine Administration,Administration,Cumulative Daily,Pfizer,12/15/2020,409,01/23/2021,108
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,12/15/2020,0,01/23/2021,109
Vaccine Administration,Administration,Daily,All COVID Vaccines,12/15/2020,219,01/23/2021,110
Vaccine Administration,Administration,Daily,Pfizer,12/15/2020,218,01/23/2021,111
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,12/15/2020,0,01/23/2021,112
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,12/15/2020,410,01/24/2021,113
Vaccine Administration,Administration,Cumulative Daily,Pfizer,12/15/2020,409,01/24/2021,114
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,12/15/2020,0,01/24/2021,115
Vaccine Administration,Administration,Daily,All COVID Vaccines,12/15/2020,219,01/24/2021,116
Vaccine Administration,Administration,Daily,Pfizer,12/15/2020,218,01/24/2021,117
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,12/15/2020,0,01/24/2021,118
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,12/15/2020,410,01/25/2021,119
Vaccine Administration,Administration,Cumulative Daily,Pfizer,12/15/2020,409,01/25/2021,120
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,12/15/2020,0,01/25/2021,121
Vaccine Administration,Administration,Daily,All COVID Vaccines,12/15/2020,219,01/25/2021,122
Vaccine Administration,Administration,Daily,Pfizer,12/15/2020,218,01/25/2021,123
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,12/15/2020,0,01/25/2021,124
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,12/15/2020,410,01/26/2021,125
Vaccine Administration,Administration,Cumulative Daily,Pfizer,12/15/2020,409,01/26/2021,126
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,12/15/2020,0,01/26/2021,127
Vaccine Administration,Administration,Daily,All COVID Vaccines,12/15/2020,219,01/26/2021,128
Vaccine Administration,Administration,Daily,Pfizer,12/15/2020,218,01/26/2021,129
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,12/15/2020,0,01/26/2021,130
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,12/15/2020,411,01/27/2021,131
Vaccine Administration,Administration,Cumulative Daily,Pfizer,12/15/2020,410,01/27/2021,132
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,12/15/2020,0,01/27/2021,133
Vaccine Administration,Administration,Daily,All COVID Vaccines,12/15/2020,220,01/27/2021,134
Vaccine Administration,Administration,Daily,Pfizer,12/15/2020,219,01/27/2021,135
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,12/15/2020,0,01/27/2021,136
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,12/15/2020,411,01/28/2021,137
Vaccine Administration,Administration,Cumulative Daily,Pfizer,12/15/2020,410,01/28/2021,138
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,12/15/2020,0,01/28/2021,139
Vaccine Administration,Administration,Daily,All COVID Vaccines,12/15/2020,220,01/28/2021,140
Vaccine Administration,Administration,Daily,Pfizer,12/15/2020,219,01/28/2021,141
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,12/15/2020,0,01/28/2021,142
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,12/15/2020,411,01/29/2021,143
Vaccine Administration,Administration,Cumulative Daily,Pfizer,12/15/2020,410,01/29/2021,144
