description,attribute,metric,value
State Data,Statewide,Cases,50660
State Data,Statewide,Hospitalizations,6616
State Data,Statewide,Counties,63
State Data,Statewide,People Tested,588547
State Data,Statewide,Test Encounters,801739
State Data,Statewide,Deaths Among Cases,1858
State Data,Statewide,Deaths Due to COVID-19,1736
State Data,Statewide,Outbreaks,513
State Data,Statewide,Rate Per 100000,889.66
State Data,Note,Data is updated daily by about 4 p.m. and includes cases reported through the previous day.,NA
State Data,Note,The number of cases includes people who have had a test that indicated they were positive for COVID-19. The number of cases also includes epidemiologically-linked cases -- or cases where public health epidemiologists have determined that infection is highly likely because a person exhibited symptoms and had close contact with someone who tested positive. The number of epidemiologically-linked cases represents a very small portion of the reported cases.,NA
State Data,Note,Total people tested may not include all negative results. Testing data excludes serology and only counts PCR.,NA
State Data,Note,A person is counted once in the number of People Tested. A person is counted once each day they are tested in the number of Test Encounters.,NA
State Data,Note,Deaths due to COVID-19: https://www.cdc.gov/nchs/nvss/vsrr/covid19/index.htm (Table 2),NA
Colorado Case Counts by County,Adams County,Cases,6491
Colorado Case Counts by County,Alamosa County,Cases,230
Colorado Case Counts by County,Arapahoe County,Cases,7311
Colorado Case Counts by County,Archuleta County,Cases,36
Colorado Case Counts by County,Baca County,Cases,15
Colorado Case Counts by County,Bent County,Cases,9
Colorado Case Counts by County,Boulder County,Cases,2046
Colorado Case Counts by County,Broomfield County,Cases,473
Colorado Case Counts by County,Chaffee County,Cases,303
Colorado Case Counts by County,Cheyenne County,Cases,9
Colorado Case Counts by County,Clear Creek County,Cases,30
Colorado Case Counts by County,Conejos County,Cases,23
Colorado Case Counts by County,Costilla County,Cases,23
Colorado Case Counts by County,Crowley County,Cases,72
Colorado Case Counts by County,Custer County,Cases,11
Colorado Case Counts by County,Delta County,Cases,121
Colorado Case Counts by County,Denver County,Cases,10224
Colorado Case Counts by County,Dolores County,Cases,1
Colorado Case Counts by County,Douglas County,Cases,1734
Colorado Case Counts by County,Eagle County,Cases,1123
Colorado Case Counts by County,El Paso County,Cases,5006
Colorado Case Counts by County,Elbert County,Cases,105
Colorado Case Counts by County,Fremont County,Cases,125
Colorado Case Counts by County,Garfield County,Cases,767
Colorado Case Counts by County,Gilpin County,Cases,16
Colorado Case Counts by County,Grand County,Cases,46
Colorado Case Counts by County,Gunnison County,Cases,272
Colorado Case Counts by County,Hinsdale County,Cases,3
Colorado Case Counts by County,Huerfano County,Cases,8
Colorado Case Counts by County,International,Cases,18
Colorado Case Counts by County,Jackson County,Cases,9
Colorado Case Counts by County,Jefferson County,Cases,4177
Colorado Case Counts by County,Kiowa County,Cases,0
Colorado Case Counts by County,Kit Carson County,Cases,51
Colorado Case Counts by County,La Plata County,Cases,212
Colorado Case Counts by County,Lake County,Cases,77
Colorado Case Counts by County,Larimer County,Cases,1554
Colorado Case Counts by County,Las Animas County,Cases,17
Colorado Case Counts by County,Lincoln County,Cases,8
Colorado Case Counts by County,Logan County,Cases,651
Colorado Case Counts by County,Mesa County,Cases,306
Colorado Case Counts by County,Mineral County,Cases,18
Colorado Case Counts by County,Moffat County,Cases,31
Colorado Case Counts by County,Montezuma County,Cases,112
Colorado Case Counts by County,Montrose County,Cases,305
Colorado Case Counts by County,Morgan County,Cases,685
Colorado Case Counts by County,Otero County,Cases,71
Colorado Case Counts by County,Ouray County,Cases,13
Colorado Case Counts by County,Park County,Cases,42
Colorado Case Counts by County,Phillips County,Cases,19
Colorado Case Counts by County,Pitkin County,Cases,187
Colorado Case Counts by County,Prowers County,Cases,53
Colorado Case Counts by County,Pueblo County,Cases,693
Colorado Case Counts by County,Rio Blanco County,Cases,16
Colorado Case Counts by County,Rio Grande County,Cases,89
Colorado Case Counts by County,Routt County,Cases,125
Colorado Case Counts by County,Saguache County,Cases,106
Colorado Case Counts by County,San Juan County,Cases,2
Colorado Case Counts by County,San Miguel County,Cases,89
Colorado Case Counts by County,Sedgwick County,Cases,11
Colorado Case Counts by County,Summit County,Cases,328
Colorado Case Counts by County,Teller County,Cases,132
Colorado Case Counts by County,Washington County,Cases,48
