description,attribute,metric,value,,,,,
State Data,Statewide,Cases,1430,,,,,
State Data,Statewide,Hospitalizations,184,,,,,
State Data,Statewide,Counties,39,,,,,
State Data,Statewide,People Tested,10122,,,,,
State Data,Statewide,Deaths,24,,,,,
State Data,Statewide,Outbreaks,9,,,,,
State Data,Statewide,Rate Per 100000,25.11,,,,,
State Data,Note,"Case summaries for 3/26/2020 and 3/25/2020 were created retroactively. Due to retroactively updated and corrected underlying data, case counts and summary statistics may not match what was published on the corresponding day.",NA,,,,,
State Data,Note,Data is updated daily by about 4 p.m. and includes cases reported through the previous day.,NA,,,,,
State Data,Note,Outbreaks are investigated at residential and non-hospital heathcare facilities.,NA,,,,,
State Data,Note,"The state rate per 100,000 includes all cases (including cases who have not yet been assigned to a county).",NA,,,,,
Case Counts by County,Adams County,Cases,50,,,,,
Case Counts by County,Adams County,Rate Per 100000,9.775687084,,,,,
Case Counts by County,Alamosa County,Cases,0,,,,,
Case Counts by County,Alamosa County,Rate Per 100000,NA,,,,,
Case Counts by County,Arapahoe County,Cases,119,,,,,
Case Counts by County,Arapahoe County,Rate Per 100000,18.26997184,,,,,
Case Counts by County,Archuleta County,Cases,0,,,,,
Case Counts by County,Archuleta County,Rate Per 100000,NA,,,,,
Case Counts by County,Baca County,Cases,0,,,,,
Case Counts by County,Baca County,Rate Per 100000,NA,,,,,
Case Counts by County,Bent County,Cases,0,,,,,
Case Counts by County,Bent County,Rate Per 100000,NA,,,,,
Case Counts by County,Boulder County,Cases,66,,,,,
Case Counts by County,Boulder County,Rate Per 100000,20.27799285,,,,,
Case Counts by County,Broomfield County,Cases,10,,,,,
Case Counts by County,Broomfield County,Rate Per 100000,14.39822614,,,,,
Case Counts by County,Chaffee County,Cases,5,,,,,
Case Counts by County,Chaffee County,Rate Per 100000,24.96504893,,,,,
Case Counts by County,Cheyenne County,Cases,0,,,,,
Case Counts by County,Cheyenne County,Rate Per 100000,NA,,,,,
Case Counts by County,Clear Creek County,Cases,3,,,,,
Case Counts by County,Clear Creek County,Rate Per 100000,NA,,,,,
Case Counts by County,Conejos County,Cases,0,,,,,
Case Counts by County,Conejos County,Rate Per 100000,NA,,,,,
Case Counts by County,Costilla County,Cases,0,,,,,
Case Counts by County,Costilla County,Rate Per 100000,NA,,,,,
Case Counts by County,Crowley County,Cases,1,,,,,
Case Counts by County,Crowley County,Rate Per 100000,NA,,,,,
Case Counts by County,Custer County,Cases,0,,,,,
