description,attribute,metric,value
State Data,Statewide,Cases,8675
State Data,Statewide,Hospitalizations,1693
State Data,Statewide,Counties,56
State Data,Statewide,People Tested,41830
State Data,Statewide,Deaths,374
State Data,Statewide,Outbreaks,93
State Data,Note,Data is updated daily by about 4 p.m. and includes cases reported through the previous day.,NA
State Data,Note,The number of cases includes people who have had a test that indicated they were positive for COVID-19. The number of cases also includes epidemiologically-linked cases -- or cases where public health epidemiologists have determined that infection is highly likely because a person exhibited symptoms and had close contact with someone who tested positive. The number of epidemiologically-linked cases represents a very small portion of the reported cases.,NA
State Data,Note,Total people tested may not include all negative results.,NA
State Data,Note,Outbreaks are investigated at all facilities.,NA
Case Counts by County,Adams County,Cases,805
Case Counts by County,Adams County,Rate Per 100000,157.38856205508404
Case Counts by County,Alamosa County,Cases,7
Case Counts by County,Alamosa County,Rate Per 100000,43.252595155709344
Case Counts by County,Arapahoe County,Cases,1342
Case Counts by County,Arapahoe County,Rate Per 100000,206.0361530501641
Case Counts by County,Archuleta County,Cases,6
Case Counts by County,Archuleta County,Rate Per 100000,43.67765887748416
Case Counts by County,Baca County,Cases,10
Case Counts by County,Baca County,Rate Per 100000,281.928390188892
Case Counts by County,Bent County,Cases,0
Case Counts by County,Bent County,Rate Per 100000,NA
Case Counts by County,Boulder County,Cases,312
Case Counts by County,Boulder County,Rate Per 100000,95.85960255134019
Case Counts by County,Broomfield County,Cases,95
Case Counts by County,Broomfield County,Rate Per 100000,136.78314831612747
Case Counts by County,Chaffee County,Cases,35
Case Counts by County,Chaffee County,Rate Per 100000,174.75534252047134
Case Counts by County,Cheyenne County,Cases,0
Case Counts by County,Cheyenne County,Rate Per 100000,NA
Case Counts by County,Clear Creek County,Cases,11
Case Counts by County,Clear Creek County,Rate Per 100000,113.83628272793129
Case Counts by County,Conejos County,Cases,0
Case Counts by County,Conejos County,Rate Per 100000,NA
Case Counts by County,Costilla County,Cases,3
Case Counts by County,Costilla County,Rate Per 100000,NA
Case Counts by County,Crowley County,Cases,2
Case Counts by County,Crowley County,Rate Per 100000,NA
Case Counts by County,Custer County,Cases,2
Case Counts by County,Custer County,Rate Per 100000,NA
Case Counts by County,Delta County,Cases,13
Case Counts by County,Delta County,Rate Per 100000,42.02223946211534
Case Counts by County,Denver County,Cases,1549
Case Counts by County,Denver County,Rate Per 100000,215.79917441839407
Case Counts by County,Dolores County,Cases,0
Case Counts by County,Dolores County,Rate Per 100000,NA
Case Counts by County,Douglas County,Cases,329
