OBJECTID,STAETFP,COUNTYFP,GEOID,COUNTY,LABEL,FULL_,County_Pos_Cases,County_Population,County_Rate_Per_100_000,State_Population,State_Pos_Unknown,State_Pos_Cases,Data_Source,Date_Data_Last_Updated,State_Number_Tested,State_Number_Hospitalizations,State_Deaths,State_Number_of_Counties_Pos,State_Rate_Per_100000,Shape__Area,Shape__Length
1,8,109,8109,SAGUACHE,Saguache,Saguache County,3,6837,-1,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,13273871024,529491.079
2,8,115,8115,SEDGWICK,Sedgwick,Sedgwick County,0,2275,0,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,2491281577,208249.5687
3,8,17,8017,CHEYENNE,Cheyenne,Cheyenne County,0,1862,0,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,7613550870,373455.8318
4,8,27,8027,CUSTER,Custer,Custer County,2,4928,-1,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,3100361575,290994.589
5,8,67,8067,LA PLATA,La Plata,La Plata County,25,56403,44.32,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,6966607867,371001.0277
6,8,111,8111,SAN JUAN,San Juan,San Juan County,0,762,0,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,1611963627,209303.3468
7,8,97,8097,PITKIN,Pitkin,Pitkin County,38,17879,212.54,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,4204962607,360368.0505
8,8,93,8093,PARK,Park,Park County,5,18557,26.94,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,9525822458,477017.5205
9,8,3,8003,ALAMOSA,Alamosa,Alamosa County,4,16184,-1,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,2987314188,224661.4372
10,8,99,8099,PROWERS,Prowers,Prowers County,0,12078,0,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,6861386118,333326.7522
11,8,81,8081,MOFFAT,Moffat,Moffat County,3,13181,-1,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,21378597682,615436.3637
12,8,59,8059,JEFFERSON,Jefferson,Jefferson County,440,579491,75.93,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,3379799619,374132.1175
13,8,117,8117,SUMMIT,Summit,Summit County,35,30973,113,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,2707648430,325660.7754
14,8,101,8101,PUEBLO,Pueblo,Pueblo County,31,167116,18.55,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,10064732291,426421.3459
15,8,13,8013,BOULDER,Boulder,Boulder County,143,325476,43.94,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,3280791024,290982.5021
16,8,31,8031,DENVER,Denver,Denver County,716,717797,99.75,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,680063925.7,341638.1275
17,8,85,8085,MONTROSE,Montrose,Montrose County,26,42260,61.52,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,9473395349,544456.7418
18,8,37,8037,EAGLE,Eagle,Eagle County,333,54863,606.97,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,7395854605,390147.7781
19,8,113,8113,SAN MIGUEL,San Miguel,San Miguel County,9,8177,110.06,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,5384599735,409162.4398
20,8,23,8023,COSTILLA,Costilla,Costilla County,3,3809,-1,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,5044736712,326902.58
21,8,14,8014,BROOMFIELD,Broomfield,Broomfield County,36,69453,51.83,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,148046030.4,146355.8305
22,8,15,8015,CHAFFEE,Chaffee,Chaffee County,19,20028,94.87,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,4328004367,386588.2056
23,8,25,8025,CROWLEY,Crowley,Crowley County,1,5857,-1,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,3373467236,243673.4216
24,8,43,8043,FREMONT,Fremont,Fremont County,2,47912,-1,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,6491723773,368122.6367
25,8,55,8055,HUERFANO,Huerfano,Huerfano County,1,6854,-1,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,6600175788,473895.539
26,8,29,8029,DELTA,Delta,Delta County,4,30936,-1,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,4913548288,340015.0705
27,8,45,8045,GARFIELD,Garfield,Garfield County,45,59807,75.24,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,12911081556,662380.0473
28,8,103,8103,RIO BLANCO,Rio Blanco,Rio Blanco County,1,6305,-1,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,14232867248,615863.6668
29,8,87,8087,MORGAN,Morgan,Morgan County,7,28503,24.56,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,5761403666,305025.0675
30,8,73,8073,LINCOLN,Lincoln,Lincoln County,1,5584,-1,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,11104214488,501503.38
31,8,83,8083,MONTEZUMA,Montezuma,Montezuma County,3,26159,-1,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,8372827721,400009.0561
32,8,1,8001,ADAMS,Adams,Adams County,294,511473,57.48,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County of Identification,"Data through April 2, 2020",22071,823,111,53,73.28,5210141150,511835.4009
33,8,79,8079,MINERAL,Mineral,Mineral County,2,777,-1,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,3634702483,263045.3888
34,8,89,8089,OTERO,Otero,Otero County,3,18364,-1,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,5290668251,335426.3309
35,8,95,8095,PHILLIPS,Phillips,Phillips County,2,4266,-1,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,3093819024,227633.7382
36,8,91,8091,OURAY,Ouray,Ouray County,0,4798,0,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,2274816289,272615.6231
37,8,11,8011,BENT,Bent,Bent County,0,5819,0,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,6430590599,323583.7276
38,8,7,8007,ARCHULETA,Archuleta,Archuleta County,1,13737,-1,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,5542147892,332854.3759
39,8,107,8107,ROUTT,Routt,Routt County,28,25683,109.02,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,10614530972,532136.2569
40,8,53,8053,HINSDALE,Hinsdale,Hinsdale County,1,804,-1,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,4669808238,359599.2011
41,8,123,8123,WELD,Weld,Weld County,379,314251,120.6,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,18041133099,641092.2686
42,8,69,8069,LARIMER,Larimer,Larimer County,134,350362,38.25,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,11869666547,482557.2348
43,8,65,8065,LAKE,Lake,Lake County,3,7762,-1,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,1658108650,213386.2885
44,8,105,8105,RIO GRANDE,Rio Grande,Rio Grande County,5,11226,44.54,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,3769075954,271469.1412
45,8,47,8047,GILPIN,Gilpin,Gilpin County,0,6097,0,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,661227908.6,121354.0504
46,8,125,8125,YUMA,Yuma,Yuma County,2,10029,-1,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,10467950651,420189.2132
47,8,57,8057,JACKSON,Jackson,Jackson County,0,1396,0,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,7304560869,472651.7462
48,8,63,8063,KIT CARSON,Kit Carson,Kit Carson County,4,7157,-1,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,9363594130,400120.7245
49,8,19,8019,CLEAR CREEK,Clear Creek,Clear Creek County,6,9663,62.09,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,1736216264,211108.2631
50,8,75,8075,LOGAN,Logan,Logan County,7,21854,32.03,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,8328152552,372747.6825
51,8,121,8121,WASHINGTON,Washington,Washington County,1,4729,-1,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,11143769306,459622.7328
52,8,35,8035,DOUGLAS,Douglas,Douglas County,194,342842,56.59,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,3653484423,276727.9538
53,8,21,8021,CONEJOS,Conejos,Conejos County,0,8136,0,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,5279802538,331488.6712
54,8,41,8041,EL PASO,El Paso,El Paso County,374,714395,52.35,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,9102643575,401357.0963
55,8,61,8061,KIOWA,Kiowa,Kiowa County,0,1373,0,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,7549913092,424067.8649
56,8,119,8119,TELLER,Teller,Teller County,11,25060,43.89,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,2392495006,233307.5459
57,8,51,8051,GUNNISON,Gunnison,Gunnison County,88,17173,512.43,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,13869269449,669945.2635
58,8,9,8009,BACA,Baca,Baca County,9,3547,253.74,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,10491691047,413607.3506
59,8,39,8039,ELBERT,Elbert,Elbert County,6,26218,22.89,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,8013602362,412091.4048
60,8,77,8077,MESA,Mesa,Mesa County,20,153630,13.02,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,14355754238,614897.9511
61,8,33,8033,DOLORES,Dolores,Dolores County,0,2053,0,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,4433037486,377983.2329
62,8,5,8005,ARAPAHOE,Arapahoe,Arapahoe County,500,651342,76.76,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,3523320322,435283.8473
63,8,71,8071,LAS ANIMAS,Las Animas,Las Animas County,1,14491,-1,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,19590463047,660024.1504
64,8,49,8049,GRAND,Grand,Grand County,4,15474,-1,5695430,158,4173,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 2, 2020",22071,823,111,53,73.28,8286034229,526946.9187
