OBJECTID,STAETFP,COUNTYFP,GEOID,COUNTY,LABEL,FULL_,County_Pos_Cases,County_Population,County_Rate_Per_100_000,State_Population,State_Pos_Unknown,State_Pos_Cases,Data_Source,Date_Data_Last_Updated,State_Number_Tested,State_Number_Hospitalizations,State_Deaths,State_Number_of_Counties_Pos,State_Rate_Per_100000,Shape__Area,Shape__Length,State_Number_Outbreaks
1,8,109,8109,SAGUACHE,Saguache,Saguache County,3,6837,-1,5695430,276,5172,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 5, 2020",26875,994,150,54,90.83,13273871024,529491.079,41
2,8,115,8115,SEDGWICK,Sedgwick,Sedgwick County,0,2275,0,5695430,276,5172,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 5, 2020",26875,994,150,54,90.83,2491281577,208249.5687,41
3,8,17,8017,CHEYENNE,Cheyenne,Cheyenne County,0,1862,0,5695430,276,5172,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 5, 2020",26875,994,150,54,90.83,7613550870,373455.8318,41
4,8,27,8027,CUSTER,Custer,Custer County,2,4928,-1,5695430,276,5172,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 5, 2020",26875,994,150,54,90.83,3100361575,290994.589,41
5,8,67,8067,LA PLATA,La Plata,La Plata County,32,56403,56.73,5695430,276,5172,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 5, 2020",26875,994,150,54,90.83,6966607867,371001.0277,41
6,8,111,8111,SAN JUAN,San Juan,San Juan County,0,762,0,5695430,276,5172,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 5, 2020",26875,994,150,54,90.83,1611963627,209303.3468,41
7,8,97,8097,PITKIN,Pitkin,Pitkin County,39,17879,218.13,5695430,276,5172,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 5, 2020",26875,994,150,54,90.83,4204962607,360368.0505,41
8,8,93,8093,PARK,Park,Park County,5,18557,26.94,5695430,276,5172,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 5, 2020",26875,994,150,54,90.83,9525822458,477017.5205,41
9,8,3,8003,ALAMOSA,Alamosa,Alamosa County,4,16184,-1,5695430,276,5172,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 5, 2020",26875,994,150,54,90.83,2987314188,224661.4372,41
10,8,99,8099,PROWERS,Prowers,Prowers County,0,12078,0,5695430,276,5172,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 5, 2020",26875,994,150,54,90.83,6861386118,333326.7522,41
11,8,81,8081,MOFFAT,Moffat,Moffat County,3,13181,-1,5695430,276,5172,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 5, 2020",26875,994,150,54,90.83,21378597682,615436.3637,41
12,8,59,8059,JEFFERSON,Jefferson,Jefferson County,540,579491,93.19,5695430,276,5172,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 5, 2020",26875,994,150,54,90.83,3379799619,374132.1175,41
13,8,117,8117,SUMMIT,Summit,Summit County,47,30973,151.75,5695430,276,5172,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 5, 2020",26875,994,150,54,90.83,2707648430,325660.7754,41
14,8,101,8101,PUEBLO,Pueblo,Pueblo County,42,167116,25.13,5695430,276,5172,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 5, 2020",26875,994,150,54,90.83,10064732291,426421.3459,41
15,8,13,8013,BOULDER,Boulder,Boulder County,189,325476,58.07,5695430,276,5172,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 5, 2020",26875,994,150,54,90.83,3280791024,290982.5021,41
16,8,31,8031,DENVER,Denver,Denver County,847,717797,118,5695430,276,5172,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 5, 2020",26875,994,150,54,90.83,680063925.7,341638.1275,41
17,8,85,8085,MONTROSE,Montrose,Montrose County,34,42260,80.45,5695430,276,5172,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 5, 2020",26875,994,150,54,90.83,9473395349,544456.7418,41
18,8,37,8037,EAGLE,Eagle,Eagle County,355,54863,647.07,5695430,276,5172,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 5, 2020",26875,994,150,54,90.83,7395854605,390147.7781,41
19,8,113,8113,SAN MIGUEL,San Miguel,San Miguel County,10,8177,122.29,5695430,276,5172,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 5, 2020",26875,994,150,54,90.83,5384599735,409162.4398,41
