Date,DailyCases,DailyDeaths
2/6/20,1,0
2/7/20,0,0
2/8/20,0,0
2/9/20,0,0
2/10/20,0,0
2/11/20,0,0
2/12/20,0,0
2/13/20,2,0
2/14/20,1,0
2/15/20,3,0
2/16/20,0,0
2/17/20,2,0
2/18/20,1,0
2/19/20,1,0
2/20/20,4,0
2/21/20,1,0
2/22/20,0,0
2/23/20,2,0
2/24/20,3,0
2/25/20,2,0
2/26/20,1,0
2/27/20,5,1
2/28/20,6,0
2/29/20,4,0
3/1/20,22,3
3/2/20,16,1
3/3/20,25,2
3/4/20,28,3
3/5/20,20,2
3/6/20,45,1
3/7/20,38,2
3/8/20,70,7
3/9/20,123,4
3/10/20,119,2
3/11/20,117,3
3/12/20,132,0
3/13/20,171,3
3/14/20,138,5
3/15/20,157,6
3/16/20,216,12
3/17/20,247,6
3/18/20,250,4
3/19/20,208,14
3/20/20,207,15
3/21/20,158,7
3/22/20,152,8
3/23/20,340,14
3/24/20,285,11
3/25/20,343,24
3/26/20,250,18
3/27/20,300,15
3/28/20,195,10
3/29/20,183,11
3/30/20,380,18
3/31/20,269,7
4/1/20,271,11
4/2/20,261,10
4/3/20,271,7
4/4/20,146,9
4/5/20,147,9
4/6/20,294,6
4/7/20,241,4
4/8/20,240,10
4/9/20,224,3
4/10/20,213,2
4/11/20,206,2
4/12/20,62,1
4/13/20,36,NA

