Reference,Placement,Season,Station,Species,DateTime
1,Random,D,1,Giraffe,19/09/2013 16:29
2,Random,D,29,Elephant,19/09/2013 20:36
3,Random,D,14,Elephant,20/09/2013 01:26
4,Random,D,1,Greater kudu,20/09/2013 08:48
5,Random,D,29,Impala,20/09/2013 09:54
6,Random,D,12,Impala,20/09/2013 10:12
7,Random,D,10,Impala,20/09/2013 11:06
8,Random,D,12,Impala,20/09/2013 12:21
9,Random,D,10,Impala,20/09/2013 16:27
10,Random,D,12,Impala,20/09/2013 16:33
11,Random,D,10,Baboon,20/09/2013 17:16
12,Random,D,10,Impala,20/09/2013 17:34
13,Random,D,11,Zebra,20/09/2013 21:49
14,Random,D,16,Impala,20/09/2013 21:51
15,Random,D,11,Black backed jackal,20/09/2013 22:22
16,Random,D,11,Elephant,20/09/2013 23:49
17,Random,D,30,Elephant,21/09/2013 00:02
18,Random,D,11,Elephant,21/09/2013 00:11
19,Random,D,30,Elephant,21/09/2013 00:14
20,Random,D,1,Spotted hyena,21/09/2013 00:14
21,Random,D,11,Elephant,21/09/2013 00:16
22,Random,D,9,Bat-eared fox,21/09/2013 00:41
23,Random,D,10,Elephant,21/09/2013 03:13
24,Random,D,2,Impala,21/09/2013 06:28
25,Random,D,13,Impala,21/09/2013 06:44
26,Random,D,11,Elephant,21/09/2013 06:45
27,Random,D,9,Giraffe,21/09/2013 07:03
28,Random,D,11,Baboon,21/09/2013 07:12
29,Random,D,12,Impala,21/09/2013 07:13
30,Random,D,10,Impala,21/09/2013 07:26
31,Random,D,12,Buffalo,21/09/2013 08:08
32,Random,D,12,Elephant,21/09/2013 09:28
33,Random,D,35,Impala,21/09/2013 10:59
34,Random,D,10,Slender mongoose,21/09/2013 11:28
35,Random,D,10,Impala,21/09/2013 11:57
36,Random,D,15,Elephant,21/09/2013 12:40
37,Random,D,11,Slender mongoose,21/09/2013 12:50
38,Random,D,35,Baboon,21/09/2013 12:55
39,Random,D,8,Impala,21/09/2013 13:32
40,Random,D,35,Giraffe,21/09/2013 13:45
41,Random,D,10,Impala,21/09/2013 13:54
42,Random,D,28,Impala,21/09/2013 15:01
43,Random,D,35,Baboon,21/09/2013 16:08
44,Random,D,16,Impala,21/09/2013 16:45
45,Random,D,B,Giraffe,21/09/2013 18:59
46,Random,D,B,Giraffe,21/09/2013 22:25
47,Random,D,35,Spotted hyena,21/09/2013 23:34
48,Random,D,33,Spotted hyena,21/09/2013 23:43
49,Random,D,4,Impala,21/09/2013 23:54
50,Random,D,19,Greater kudu,21/09/2013 23:54
51,Random,D,33,Impala,22/09/2013 00:10
52,Random,D,33,Elephant,22/09/2013 00:14
53,Random,D,9,Impala,22/09/2013 06:15
54,Random,D,35,Spotted hyena,22/09/2013 06:33
55,Random,D,21,Zebra,22/09/2013 06:46
56,Random,D,8,Elephant,22/09/2013 06:47
57,Random,D,11,Elephant,22/09/2013 06:55
58,Random,D,24,Greater kudu,22/09/2013 07:03
59,Random,D,A,Impala,22/09/2013 07:05
60,Random,D,9,Zebra,22/09/2013 07:06
61,Random,D,10,Impala,22/09/2013 07:45
62,Random,D,20,Elephant,22/09/2013 08:39
63,Random,D,28,Impala,22/09/2013 08:39
64,Random,D,49,Impala,22/09/2013 08:48
65,Random,D,35,Impala,22/09/2013 09:00
66,Random,D,20,Giraffe,22/09/2013 09:20
67,Random,D,22,Elephant,22/09/2013 09:23
68,Random,D,13,Impala,22/09/2013 10:37
69,Random,D,12,Impala,22/09/2013 11:03
70,Random,D,10,Impala,22/09/2013 11:06
71,Random,D,35,Spotted hyena,22/09/2013 12:26
72,Random,D,35,Leopard,22/09/2013 12:43
73,Random,D,22,Impala,22/09/2013 12:43
74,Random,D,10,Impala,22/09/2013 12:44
75,Random,D,22,Impala,22/09/2013 12:50
76,Random,D,49,Impala,22/09/2013 15:02
77,Random,D,10,Impala,22/09/2013 15:39
78,Random,D,49,Impala,22/09/2013 16:19
79,Random,D,49,Zebra,22/09/2013 16:20
80,Random,D,30,Impala,22/09/2013 16:36
81,Random,D,C,Lesser kudu,22/09/2013 17:05
82,Random,D,22,Elephant,22/09/2013 19:55
83,Random,D,33,Aardwolf,22/09/2013 23:11
84,Random,D,35,Spotted hyena,22/09/2013 23:25
85,Random,D,47,Waterbuck,22/09/2013 23:38
86,Random,D,45,Giraffe,23/09/2013 00:19
87,Random,D,48,Bat-eared fox,23/09/2013 00:34
88,Random,D,13,Impala,23/09/2013 01:35
89,Random,D,B,White tailed mongoose,23/09/2013 01:39
90,Random,D,3,Bush duiker,23/09/2013 01:57
91,Random,D,44,Giraffe,23/09/2013 01:57
92,Random,D,11,Bat-eared fox,23/09/2013 02:06
93,Random,D,33,Impala,23/09/2013 02:51
94,Random,D,26,White tailed mongoose,23/09/2013 03:12
95,Random,D,35,Spotted hyena,23/09/2013 05:20
96,Random,D,13,Impala,23/09/2013 06:26
97,Random,D,3,Bush duiker,23/09/2013 06:44
98,Random,D,35,Spotted hyena,23/09/2013 06:54
99,Random,D,10,Impala,23/09/2013 07:36
100,Random,D,11,Impala,23/09/2013 07:52
101,Random,D,8,Giraffe,23/09/2013 08:04
102,Random,D,30,Impala,23/09/2013 09:00
103,Random,D,10,Giraffe,23/09/2013 09:55
104,Random,D,35,Giraffe,23/09/2013 10:02
105,Random,D,28,Impala,23/09/2013 10:27
106,Random,D,21,Giraffe,23/09/2013 10:55
107,Random,D,10,Elephant,23/09/2013 10:56
108,Random,D,20,Impala,23/09/2013 11:19
109,Random,D,22,Giraffe,23/09/2013 11:31
110,Random,D,10,Impala,23/09/2013 11:44
111,Random,D,14,Impala,23/09/2013 11:53
112,Random,D,10,Impala,23/09/2013 11:57
113,Random,D,10,Impala,23/09/2013 14:44
114,Random,D,17,Giraffe,23/09/2013 14:57
115,Random,D,A,Giraffe,23/09/2013 16:17
116,Random,D,41,Giraffe,23/09/2013 18:24
117,Random,D,35,Spotted hyena,23/09/2013 18:46
118,Random,D,22,Giraffe,23/09/2013 20:29
119,Random,D,35,Elephant,23/09/2013 21:07
120,Random,D,11,Elephant,23/09/2013 21:11
121,Random,D,30,Common genet,23/09/2013 21:20
122,Random,D,41,Giraffe,23/09/2013 23:22
123,Random,D,21,Elephant,23/09/2013 23:25
124,Random,D,11,Zebra,23/09/2013 23:58
125,Random,D,H,Aardwolf,24/09/2013 00:41
126,Random,D,26,Impala,24/09/2013 00:54
127,Random,D,47,Impala,24/09/2013 01:35
128,Random,D,24,Impala,24/09/2013 02:14
129,Random,D,E,Bush duiker,24/09/2013 02:30
130,Random,D,44,Bat-eared fox,24/09/2013 03:02
131,Random,D,28,Elephant,24/09/2013 03:09
132,Random,D,B,Elephant,24/09/2013 04:01
133,Random,D,G,Dikdik,24/09/2013 04:47
134,Random,D,10,Black backed jackal,24/09/2013 06:19
135,Random,D,21,Giraffe,24/09/2013 06:49
136,Random,D,2,Dikdik,24/09/2013 06:58
137,Random,D,24,Greater kudu,24/09/2013 07:31
138,Random,D,37,Elephant,24/09/2013 07:32
139,Random,D,34,Black backed jackal,24/09/2013 07:36
140,Random,D,12,Impala,24/09/2013 08:11
141,Random,D,G,Dikdik,24/09/2013 08:12
142,Random,D,41,Impala,24/09/2013 08:52
143,Random,D,41,Baboon,24/09/2013 08:53
144,Random,D,12,Impala,24/09/2013 09:14
145,Random,D,35,Baboon,24/09/2013 09:36
146,Random,D,35,Impala,24/09/2013 09:36
147,Random,D,44,Impala,24/09/2013 09:48
148,Random,D,11,Impala,24/09/2013 09:59
149,Random,D,12,Giraffe,24/09/2013 10:03
150,Random,D,12,Zebra,24/09/2013 10:03
151,Random,D,10,Impala,24/09/2013 10:21
152,Random,D,11,Impala,24/09/2013 10:24
153,Random,D,10,Elephant,24/09/2013 10:47
154,Random,D,10,Impala,24/09/2013 10:51
155,Random,D,18,Dikdik,24/09/2013 11:04
156,Random,D,18,Greater kudu,24/09/2013 11:24
157,Random,D,10,Impala,24/09/2013 11:51
158,Random,D,28,Impala,24/09/2013 11:53
159,Random,D,10,Impala,24/09/2013 11:53
160,Random,D,28,Impala,24/09/2013 11:53
161,Random,D,10,Impala,24/09/2013 11:53
162,Random,D,28,Impala,24/09/2013 11:53
163,Random,D,10,Impala,24/09/2013 11:53
164,Random,D,28,Impala,24/09/2013 11:53
165,Random,D,10,Impala,24/09/2013 11:53
166,Random,D,28,Impala,24/09/2013 11:54
167,Random,D,10,Impala,24/09/2013 11:55
168,Random,D,28,Impala,24/09/2013 11:56
169,Random,D,10,Impala,24/09/2013 11:57
170,Random,D,28,Impala,24/09/2013 11:57
171,Random,D,10,Impala,24/09/2013 11:57
172,Random,D,28,Impala,24/09/2013 11:57
173,Random,D,10,Impala,24/09/2013 11:57
174,Random,D,28,Impala,24/09/2013 11:57
175,Random,D,10,Impala,24/09/2013 11:57
176,Random,D,28,Impala,24/09/2013 11:57
177,Random,D,10,Impala,24/09/2013 11:57
178,Random,D,28,Impala,24/09/2013 11:57
179,Random,D,10,Impala,24/09/2013 11:57
180,Random,D,28,Impala,24/09/2013 11:57
181,Random,D,10,Impala,24/09/2013 11:57
182,Random,D,28,Impala,24/09/2013 11:57
183,Random,D,10,Impala,24/09/2013 11:57
184,Random,D,28,Impala,24/09/2013 11:57
185,Random,D,10,Impala,24/09/2013 11:57
186,Random,D,28,Impala,24/09/2013 11:57
187,Random,D,10,Impala,24/09/2013 11:57
188,Random,D,28,Impala,24/09/2013 11:57
189,Random,D,10,Impala,24/09/2013 11:57
190,Random,D,28,Impala,24/09/2013 11:58
191,Random,D,10,Impala,24/09/2013 11:58
192,Random,D,22,Impala,24/09/2013 12:22
193,Random,D,28,Impala,24/09/2013 13:20
194,Random,D,39,Giraffe,24/09/2013 13:38
195,Random,D,35,Greater kudu,24/09/2013 14:02
196,Random,D,22,Zebra,24/09/2013 15:30
197,Random,D,25,Impala,24/09/2013 16:33
198,Random,D,10,Buffalo,24/09/2013 16:48
199,Random,D,23,Dikdik,24/09/2013 17:04
200,Random,D,49,Impala,24/09/2013 17:11
201,Random,D,C,Lesser kudu,24/09/2013 17:38
202,Random,D,26,Bush duiker,24/09/2013 18:02
203,Random,D,35,Spotted hyena,24/09/2013 19:09
204,Random,D,16,Zebra,24/09/2013 19:21
205,Random,D,47,Impala,24/09/2013 19:45
206,Random,D,47,Waterbuck,24/09/2013 19:48
207,Random,D,47,Impala,24/09/2013 21:38
208,Random,D,48,Hippo,24/09/2013 22:40
209,Random,D,35,Elephant,24/09/2013 23:58
210,Random,D,G,Dikdik,25/09/2013 00:15
211,Random,D,3,Black backed jackal,25/09/2013 00:43
212,Random,D,13,Impala,25/09/2013 00:51
213,Random,D,44,Giraffe,25/09/2013 00:54
214,Random,D,11,Impala,25/09/2013 01:32
215,Random,D,49,Giraffe,25/09/2013 01:34
216,Random,D,E,Bush duiker,25/09/2013 02:27
217,Random,D,21,Elephant,25/09/2013 02:41
218,Random,D,10,Impala,25/09/2013 02:48
219,Random,D,13,Impala,25/09/2013 03:54
220,Random,D,35,Spotted hyena,25/09/2013 04:22
221,Random,D,13,Impala,25/09/2013 05:41
222,Random,D,F,Pangolin,25/09/2013 05:48
223,Random,D,41,Impala,25/09/2013 06:11
224,Random,D,15,Impala,25/09/2013 06:49
225,Random,D,12,Impala,25/09/2013 07:00
226,Random,D,D,Elephant,25/09/2013 07:03
227,Random,D,49,Impala,25/09/2013 07:06
228,Random,D,45,Impala,25/09/2013 07:12
229,Random,D,47,Impala,25/09/2013 07:16
230,Random,D,41,Impala,25/09/2013 07:44
231,Random,D,G,Dikdik,25/09/2013 07:47
232,Random,D,G,Baboon,25/09/2013 07:57
233,Random,D,H,Baboon,25/09/2013 08:41
234,Random,D,12,Impala,25/09/2013 09:08
235,Random,D,49,Warthog,25/09/2013 09:23
236,Random,D,22,Impala,25/09/2013 09:24
237,Random,D,21,Greater kudu,25/09/2013 09:34
238,Random,D,B,Giraffe,25/09/2013 11:22
239,Random,D,48,Giraffe,25/09/2013 12:25
240,Random,D,10,Impala,25/09/2013 13:16
241,Random,D,22,Baboon,25/09/2013 14:20
242,Random,D,24,Greater kudu,25/09/2013 14:24
243,Random,D,A,Elephant,25/09/2013 15:23
244,Random,D,36,Impala,25/09/2013 15:37
245,Random,D,16,Zebra,25/09/2013 15:50
246,Random,D,34,Elephant,25/09/2013 16:32
247,Random,D,10,Baboon,25/09/2013 16:43
248,Random,D,B,Impala,25/09/2013 17:40
249,Random,D,22,Baboon,25/09/2013 17:57
250,Random,D,H,Impala,25/09/2013 18:45
251,Random,D,40,Spotted hyena,25/09/2013 19:44
252,Random,D,23,Warthog,25/09/2013 23:41
253,Random,D,40,African civet,26/09/2013 01:06
254,Random,D,33,Impala,26/09/2013 01:21
255,Random,D,28,Elephant,26/09/2013 02:10
256,Random,D,26,Aardwolf,26/09/2013 02:22
257,Random,D,C,Bush duiker,26/09/2013 02:30
258,Random,D,9,Impala,26/09/2013 02:35
259,Random,D,13,Aardwolf,26/09/2013 05:09
260,Random,D,20,Elephant,26/09/2013 05:43
261,Random,D,E,Bush duiker,26/09/2013 06:19
262,Random,D,20,Bush buck,26/09/2013 06:21
263,Random,D,40,Dikdik,26/09/2013 06:38
264,Random,D,10,Baboon,26/09/2013 07:06
265,Random,D,41,Bush duiker,26/09/2013 07:22
266,Random,D,10,Impala,26/09/2013 07:28
267,Random,D,10,Elephant,26/09/2013 07:35
268,Random,D,13,Slender mongoose,26/09/2013 08:06
269,Random,D,G,Impala,26/09/2013 08:09
270,Random,D,D,Impala,26/09/2013 08:16
271,Random,D,G,Impala,26/09/2013 08:16
272,Random,D,11,Impala,26/09/2013 08:55
273,Random,D,21,Giraffe,26/09/2013 09:36
274,Random,D,10,Impala,26/09/2013 10:17
275,Random,D,9,Elephant,26/09/2013 10:19
276,Random,D,G,Greater kudu,26/09/2013 11:34
277,Random,D,10,Slender mongoose,26/09/2013 12:13
