dyadtype,firstID,secondID,pairwise R
momcub,amar,gui,0.4538
momcub,amar,hrp,0.4759
momcub,amar,ua,0.2583
momcub,ani,bail,0.2783
momcub,arse,bsh,0.3838
momcub,art,mrph,0.1428
momcub,ath,mrph,0.4194
momcub,bail,ind,0.4303
momcub,baj,bb,0.5267
momcub,bal,bb,0.6143
momcub,bb,wr,0.5974
momcub,bc,gol,0.0709
momcub,bsh,csn,0.5094
momcub,bsh,jb,0.3652
momcub,bsh,mrph,0.4357
momcub,bsh,pb,0.2725
momcub,bsh,sein,0.4495
momcub,bsh,who,0.4376
momcub,bsp,mp,0.5572
momcub,cam,jj,0.7141
momcub,chob,par,0.4437
momcub,chw,sein,0.3712
momcub,coch,ger,0.2839
momcub,coch,nav,0.3615
momcub,coo,kip,0.3111
momcub,cpa,sx,0.2705
momcub,cr,zim,0.6213
momcub,darw,jb,0.6321
momcub,dd,dj,0.5531
momcub,deb,dj,0.328
momcub,del,wr,0.5799
momcub,dj,hg,0.4542
momcub,dj,jj,0.4726
momcub,dj,mop,0.3944
momcub,dj,zing,0.4517
momcub,foz,hob,0.4334
momcub,gdz,kip,0.5927
momcub,ger,jut,0.6047
momcub,ger,puc,0.2962
momcub,gil,oly,0.4566
momcub,gil,sha,0.3462
momcub,gol,jas,0.4382
momcub,gol,mca,0.3842
momcub,gonz,hob,0.2499
momcub,gw,par,0.6883
momcub,gw,rv,0.6321
momcub,hem,who,0.4869
momcub,her,mrph,0.3916
momcub,hg,ldv,0.4957
momcub,hg,oke,0.7369
momcub,hg,whi,0.5763
momcub,hml,ger,0.6774
momcub,hob,sco,0.4697
momcub,hoo,nav,0.6561
momcub,jab,jone,0.4666
momcub,jab,mali,0.6665
momcub,jab,rinc,0.4583
momcub,jab,wm,0.592
momcub,jj,maz,0.5898
momcub,kip,who,0.5095
momcub,kip,yet,0.2827
momcub,linc,nav,0.2047
momcub,luk ,sein,0.4881
momcub,md,mw,0.2784
momcub,mp,nola,0.5016
momcub,nav,whh,0.3758
momcub,nod,ua,0.3392
momcub,ome,sx,0.3836
momcub,par,tsa,0.3224
momcub,rump,wr,0.4145
momcub,scby,sd,0.4305
momcub,scy,warf,0.505
momcub,sir,sx,0.2135
sirecub,amar,fn,0.3897
sirecub,ani,mer,0.5641
sirecub,arse,rcn,0.5878
sirecub,art,mg,0.2884
sirecub,baj,fn,0.6919
sirecub,bal,fn,0.4178
sirecub,bc,tz,0.3596
sirecub,bsp,zig,0.3415
sirecub,cam,zig,0.2724
sirecub,chob,zig,0.1356
sirecub,chw,bp,0.4861
sirecub,coo,tz,0.4783
sirecub,cpa,gob,0.3049
sirecub,csn,fn,0.3236
sirecub,darw,fa,0.2308
sirecub,dd,bag,0.0426
sirecub,deb,fa,0.3634
sirecub,del,chas,0.5646
sirecub,foz,mike,0.6596
sirecub,gdz,tz,0.3841
sirecub,ger,en,0.4516
sirecub,gonz,tz,0.232
sirecub,gui,chas,0.6411
sirecub,hem,fa,0.3486
sirecub,hg,zip,0.5519
sirecub,hml,fn,0.3424
sirecub,hoo,chas,0.5577
sirecub,hrp,dub,0.512
sirecub,ind,chas,0.5926
sirecub,jas,exc,0.2491
sirecub,jb,fn,0.5846
sirecub,jj,zip,0.5291
sirecub,jone,fn,0.5096
sirecub,jut,pos,0.5627
sirecub,kip,fn,0.5366
sirecub,ldv,mer,0.5107
sirecub,linc,mike,0.676
sirecub,luk,wald,0.5879
sirecub,mali,fn,0.2388
sirecub,maz,rcn,0.5673
sirecub,mca,mer,0.4249
sirecub,md,a1019,0.52
sirecub,mop,en,0.3748
sirecub,mrph,mike,0.2657
sirecub,nav,en,0.5645
sirecub,nod,mike,0.2487
sirecub,nola,dub,0.3552
sirecub,oke,mer,0.34
sirecub,oly,fn,0.3726
sirecub,ome,mg,0.1771
sirecub,par,rcn,0.3989
sirecub,pb,m46,0.6189
sirecub,puc,fn,0.6451
sirecub,rinc,fn,0.3457
sirecub,rump,mer,0.4937
sirecub,rv,a1019,0.4085
sirecub,scby,rcn,0.7186
sirecub,sco,mike,0.6045
sirecub,sein,rcn,0.561
sirecub,sha,fn,0.5227
sirecub,sir,fn,0.7827
sirecub,tsa,chas,0.4384
sirecub,warf,rcn,0.7955
sirecub,whh,zig,0.3778
sirecub,whi,zig,0.3018
sirecub,who,zip,0.293
sirecub,wm,fn,0.4405
sirecub,wr,rcn,0.0031
sirecub,yet,mike,0.5335
sirecub,zim,zig,0.3859
sirecub,zing,tz,0.399
fullsib,arse,sein,0.5864
fullsib,bal,baj,0.4268
fullsib,coo,gdz,0.2866
fullsib,csn,jb,0.4976
fullsib,foz,sco,0.508
fullsib,ger,nav,0.5531
fullsib,hg,jj,0.4653
fullsib,jone,mali,0.454
fullsib,jone,rinc,0.3447
fullsib,jone,wm,0.7319
fullsib,ldv,oke,0.2536
fullsib,mali,wm,0.4921
fullsib,oly,sha,0.2699
fullsib,puc,hml,0.4003
fullsib,rinc,mali,0.524
fullsib,rinc,wm,0.2227
halfsib,amar,baj,0.3149
halfsib,amar,bal,0.4377
halfsib,amar,csn,0.3341
halfsib,amar,hml,0.4353
halfsib,amar,jb,0.2549
halfsib,amar,jone,0.2294
halfsib,amar,kip,0.3993
halfsib,amar,mali,0.4092
halfsib,amar,nod,-0.1661
halfsib,amar,oly,0.1878
halfsib,amar,puc,0.2962
halfsib,amar,rinc,0.0849
halfsib,amar,sha,0.0235
halfsib,amar,sir,0.3604
halfsib,amar,wm,0.2153
halfsib,ani,ind,-0.0075
halfsib,ani,ldv,0.2042
halfsib,ani,mca,0.041
halfsib,ani,oke,-0.0931
halfsib,ani,rump,0.5056
halfsib,arse,csn,0.1788
halfsib,arse,jb,0.1795
halfsib,arse,maz,0.1211
halfsib,arse,mrph,-0.076
halfsib,arse,par,0.3197
halfsib,arse,pb,-0.0847
halfsib,arse,scby,0.2822
halfsib,arse,warf,0.3928
halfsib,arse,who,-0.0843
halfsib,arse,wr,0.6529
halfsib,art,ath,-0.2232
halfsib,art,her,-0.0034
halfsib,art,ome,0.2943
halfsib,baj,csn,0.1122
halfsib,baj,hml,0.2086
halfsib,baj,jb,0.3467
halfsib,baj,jone,0.586
halfsib,baj,kip,0.24
halfsib,baj,mali,0.1761
halfsib,baj,oly,0.2075
halfsib,baj,puc,0.3004
halfsib,baj,rinc,0.2764
halfsib,baj,sha,0.374
halfsib,baj,sir,0.572
halfsib,baj,wm,0.4493
halfsib,baj,wr,0.3987
halfsib,bal,csn,0.0896
halfsib,bal,hml,0.2498
halfsib,bal,jb,0.1542
halfsib,bal,jone,0.4099
halfsib,bal,kip,-0.15
halfsib,bal,mali,0.3626
halfsib,bal,oly,0.4227
halfsib,bal,puc,0.0699
halfsib,bal,rinc,0.3941
halfsib,bal,sha,0.3354
halfsib,bal,sir,0.5265
halfsib,bal,wm,0.1652
halfsib,bal,wr,0.5025
halfsib,bc,coo,0.1714
halfsib,bc,gdz,0.1317
halfsib,bc,gonz,0.3138
halfsib,bc,jas,0.085
halfsib,bc,mca,0.098
halfsib,bc,zing,-0.188
halfsib,bsp,cam,0.2855
halfsib,bsp,chob,-0.0079
halfsib,bsp,nola,0.2356
halfsib,bsp,whh,0.2263
halfsib,bsp,whi,0.3099
halfsib,bsp,zim,0.6094
halfsib,cam,chob,-0.0087
halfsib,cam,maz,0.4648
halfsib,cam,whh,0.0376
halfsib,cam,whi,0.4445
halfsib,cam,zim,0.4492
halfsib,chob,tsa,0.549
