FirstClan,FirstID,SecondClan,SecondID,ClanDistance,pairwiseR
EmartiHill,436,EmartiHill,411,0,0.233
EmartiHill,438,EmartiHill,411,0,0.2535
EmartiHill,438,EmartiHill,436,0,0.0118
EmartiHill,440,EmartiHill,411,0,-0.1973
EmartiHill,440,EmartiHill,436,0,-0.0026
EmartiHill,440,EmartiHill,438,0,-0.0021
EmartiHill,457,EmartiHill,411,0,-0.1016
EmartiHill,457,EmartiHill,436,0,0.0214
EmartiHill,457,EmartiHill,438,0,0.0168
EmartiHill,457,EmartiHill,440,0,0.0867
EmartiHill,485,EmartiHill,411,0,0.304
EmartiHill,485,EmartiHill,436,0,0.3644
EmartiHill,485,EmartiHill,438,0,-0.2299
EmartiHill,485,EmartiHill,440,0,-0.1086
EmartiHill,485,EmartiHill,457,0,0.3686
EmartiHill,488,EmartiHill,411,0,0.3316
EmartiHill,488,EmartiHill,436,0,0.3035
EmartiHill,488,EmartiHill,438,0,0.1104
EmartiHill,488,EmartiHill,440,0,-0.3119
EmartiHill,488,EmartiHill,457,0,0.1346
EmartiHill,488,EmartiHill,485,0,0.6653
EmartiHill,489,EmartiHill,411,0,-0.0658
EmartiHill,489,EmartiHill,436,0,0.1872
EmartiHill,489,EmartiHill,438,0,-0.1822
EmartiHill,489,EmartiHill,440,0,0.5269
EmartiHill,489,EmartiHill,457,0,0.1932
EmartiHill,489,EmartiHill,485,0,0.2233
EmartiHill,489,EmartiHill,488,0,0.1646
EmartiHill,490,EmartiHill,411,0,0.0807
EmartiHill,490,EmartiHill,436,0,0.2843
EmartiHill,490,EmartiHill,438,0,0.0396
EmartiHill,490,EmartiHill,440,0,0.022
EmartiHill,490,EmartiHill,457,0,-0.266
EmartiHill,490,EmartiHill,485,0,0.2327
EmartiHill,490,EmartiHill,488,0,0.3337
EmartiHill,490,EmartiHill,489,0,0.2417
EmartiHill,491,EmartiHill,411,0,-0.0879
EmartiHill,491,EmartiHill,436,0,0.1931
EmartiHill,491,EmartiHill,438,0,-0.0421
EmartiHill,491,EmartiHill,440,0,0.3138
EmartiHill,491,EmartiHill,457,0,0.1175
EmartiHill,491,EmartiHill,485,0,-0.012
EmartiHill,491,EmartiHill,488,0,-0.1264
EmartiHill,491,EmartiHill,489,0,0.2299
EmartiHill,491,EmartiHill,490,0,-0.0412
EmartiW,390,EmartiHill,411,1,-0.0556
EmartiW,390,EmartiHill,436,1,0.1494
EmartiW,390,EmartiHill,438,1,-0.2884
EmartiW,390,EmartiHill,440,1,0.0444
EmartiW,390,EmartiHill,457,1,-0.0146
EmartiW,390,EmartiHill,485,1,0.2185
EmartiW,390,EmartiHill,488,1,-0.0012
EmartiW,390,EmartiHill,489,1,0.0337
EmartiW,390,EmartiHill,490,1,0.2354
EmartiW,390,EmartiHill,491,1,0.0693
EmartiW,391,EmartiHill,411,1,-0.2068
EmartiW,391,EmartiHill,436,1,0.0735
EmartiW,391,EmartiHill,438,1,0.1595
EmartiW,391,EmartiHill,440,1,0.2901
EmartiW,391,EmartiHill,457,1,0.6236
EmartiW,391,EmartiHill,485,1,0.1603
EmartiW,391,EmartiHill,488,1,-0.1622
EmartiW,391,EmartiHill,489,1,0.1626
EmartiW,391,EmartiHill,490,1,-0.0591
EmartiW,391,EmartiHill,491,1,0.2147
EmartiW,391,EmartiW,390,0,0.1573
EmartiW,397,EmartiHill,411,1,-0.1046
EmartiW,397,EmartiHill,436,1,-0.165
EmartiW,397,EmartiHill,438,1,-0.0526
EmartiW,397,EmartiHill,440,1,0.0095
EmartiW,397,EmartiHill,457,1,0.6149
EmartiW,397,EmartiHill,485,1,0.0141
EmartiW,397,EmartiHill,488,1,-0.225
EmartiW,397,EmartiHill,489,1,-0.0024
EmartiW,397,EmartiHill,490,1,-0.3679
EmartiW,397,EmartiHill,491,1,-0.1285
EmartiW,397,EmartiW,390,0,-0.1021
EmartiW,397,EmartiW,391,0,0.3644
EmartiW,452,EmartiHill,411,1,-0.3426
EmartiW,452,EmartiHill,436,1,-0.1508
EmartiW,452,EmartiHill,438,1,0.1857
EmartiW,452,EmartiHill,440,1,0.5217
EmartiW,452,EmartiHill,457,1,0.4498
EmartiW,452,EmartiHill,485,1,-0.0802
EmartiW,452,EmartiHill,488,1,-0.1625
EmartiW,452,EmartiHill,489,1,0.1836
EmartiW,452,EmartiHill,490,1,-0.2187
EmartiW,452,EmartiHill,491,1,0.035
EmartiW,452,EmartiW,390,0,-0.3399
EmartiW,452,EmartiW,391,0,0.3169
EmartiW,452,EmartiW,397,0,0.3107
EmartiW,453,EmartiHill,411,1,-0.039
EmartiW,453,EmartiHill,436,1,0.1214
EmartiW,453,EmartiHill,438,1,0.2942
EmartiW,453,EmartiHill,440,1,0.3741
EmartiW,453,EmartiHill,457,1,0.1328
EmartiW,453,EmartiHill,485,1,-0.2483
EmartiW,453,EmartiHill,488,1,-0.2312
EmartiW,453,EmartiHill,489,1,0.309
EmartiW,453,EmartiHill,490,1,-0.2363
EmartiW,453,EmartiHill,491,1,0.0533
EmartiW,453,EmartiW,390,0,-0.579
EmartiW,453,EmartiW,391,0,0.146
EmartiW,453,EmartiW,397,0,0.1484
EmartiW,453,EmartiW,452,0,0.4811
EmartiW,466,EmartiHill,411,1,-0.3072
EmartiW,466,EmartiHill,436,1,-0.36
EmartiW,466,EmartiHill,438,1,0.0576
EmartiW,466,EmartiHill,440,1,0.1206
EmartiW,466,EmartiHill,457,1,0.2886
EmartiW,466,EmartiHill,485,1,-0.3116
EmartiW,466,EmartiHill,488,1,-0.4091
EmartiW,466,EmartiHill,489,1,-0.0347
EmartiW,466,EmartiHill,490,1,-0.5054
EmartiW,466,EmartiHill,491,1,-0.1254
EmartiW,466,EmartiW,390,0,-0.3051
EmartiW,466,EmartiW,391,0,0.0465
EmartiW,466,EmartiW,397,0,0.3144
EmartiW,466,EmartiW,452,0,0.4848
EmartiW,466,EmartiW,453,0,0.2289
EmartiW,467,EmartiHill,411,1,-0.2378
EmartiW,467,EmartiHill,436,1,0.1108
EmartiW,467,EmartiHill,438,1,0.0239
EmartiW,467,EmartiHill,440,1,-0.0631
EmartiW,467,EmartiHill,457,1,0.0355
EmartiW,467,EmartiHill,485,1,0.1811
EmartiW,467,EmartiHill,488,1,0.2906
EmartiW,467,EmartiHill,489,1,0.3665
EmartiW,467,EmartiHill,490,1,0.274
EmartiW,467,EmartiHill,491,1,-0.1042
EmartiW,467,EmartiW,390,0,-0.0035
EmartiW,467,EmartiW,391,0,0.0055
EmartiW,467,EmartiW,397,0,0.0444
EmartiW,467,EmartiW,452,0,-0.0822
EmartiW,467,EmartiW,453,0,-0.0896
EmartiW,467,EmartiW,466,0,-0.1861
EmartiW,468,EmartiHill,411,1,-0.2644
EmartiW,468,EmartiHill,436,1,-0.1991
EmartiW,468,EmartiHill,438,1,0.0063
EmartiW,468,EmartiHill,440,1,0.4577
EmartiW,468,EmartiHill,457,1,-0.0272
EmartiW,468,EmartiHill,485,1,-0.0545
EmartiW,468,EmartiHill,488,1,0.0673
EmartiW,468,EmartiHill,489,1,0.5795
EmartiW,468,EmartiHill,490,1,0.031
EmartiW,468,EmartiHill,491,1,0.2069
EmartiW,468,EmartiW,390,0,-0.0645
EmartiW,468,EmartiW,391,0,0.1017
EmartiW,468,EmartiW,397,0,-0.2016
EmartiW,468,EmartiW,452,0,0.1317
EmartiW,468,EmartiW,453,0,0.2496
EmartiW,468,EmartiW,466,0,0.0274
EmartiW,468,EmartiW,467,0,0.3235
EmartiW,481,EmartiHill,411,1,-0.1433
EmartiW,481,EmartiHill,436,1,-0.0351
EmartiW,481,EmartiHill,438,1,-0.0928
EmartiW,481,EmartiHill,440,1,0.2519
EmartiW,481,EmartiHill,457,1,-0.1084
EmartiW,481,EmartiHill,485,1,-0.1367
EmartiW,481,EmartiHill,488,1,0.062
EmartiW,481,EmartiHill,489,1,0.2831
EmartiW,481,EmartiHill,490,1,-0.153
EmartiW,481,EmartiHill,491,1,-0.0221
EmartiW,481,EmartiW,390,0,0.0874
EmartiW,481,EmartiW,391,0,0.0576
EmartiW,481,EmartiW,397,0,-0.368
EmartiW,481,EmartiW,452,0,-0.1427
EmartiW,481,EmartiW,453,0,0.1011
EmartiW,481,EmartiW,466,0,-0.1713
EmartiW,481,EmartiW,467,0,-0.3087
EmartiW,481,EmartiW,468,0,0.4445
EmartiW,482,EmartiHill,411,1,-0.4063
EmartiW,482,EmartiHill,436,1,-0.1436
EmartiW,482,EmartiHill,438,1,0.016
EmartiW,482,EmartiHill,440,1,0.5405
EmartiW,482,EmartiHill,457,1,0.1072
EmartiW,482,EmartiHill,485,1,-0.25
EmartiW,482,EmartiHill,488,1,-0.2026
EmartiW,482,EmartiHill,489,1,0.0776
EmartiW,482,EmartiHill,490,1,-0.1799
EmartiW,482,EmartiHill,491,1,0.0287
EmartiW,482,EmartiW,390,0,0.0649
EmartiW,482,EmartiW,391,0,0.2666
EmartiW,482,EmartiW,397,0,-0.0539
EmartiW,482,EmartiW,452,0,0.337
EmartiW,482,EmartiW,453,0,0.0195
EmartiW,482,EmartiW,466,0,-0.1293
EmartiW,482,EmartiW,467,0,-0.0413
EmartiW,482,EmartiW,468,0,0.2793
EmartiW,482,EmartiW,481,0,0.2671
FTOK,375,EmartiHill,411,1,0.1318
FTOK,375,EmartiHill,436,1,0.3062
FTOK,375,EmartiHill,438,1,0.2534
FTOK,375,EmartiHill,440,1,-0.0521
FTOK,375,EmartiHill,457,1,0.1024
FTOK,375,EmartiHill,485,1,0.1701
FTOK,375,EmartiHill,488,1,0.2717
FTOK,375,EmartiHill,489,1,-0.1586
FTOK,375,EmartiHill,490,1,0.0549
FTOK,375,EmartiHill,491,1,0.0432
FTOK,375,EmartiW,390,2,-0.0004
FTOK,375,EmartiW,391,2,0.1067
FTOK,375,EmartiW,397,2,-0.1812
FTOK,375,EmartiW,452,2,-0.0016
FTOK,375,EmartiW,453,2,-0.0309
FTOK,375,EmartiW,466,2,-0.4529
FTOK,375,EmartiW,467,2,-0.1536
FTOK,375,EmartiW,468,2,-0.1084
FTOK,375,EmartiW,481,2,0.1141
FTOK,375,EmartiW,482,2,0.29
FTOK,375,FTOK,471,0,-0.1924
FTOK,388,EmartiHill,411,1,-0.1019
FTOK,388,EmartiHill,436,1,0.1993
FTOK,388,EmartiHill,438,1,-0.3353
FTOK,388,EmartiHill,440,1,0.0865
FTOK,388,EmartiHill,457,1,-0.0611
FTOK,388,EmartiHill,485,1,0.0907
FTOK,388,EmartiHill,488,1,0.2156
FTOK,388,EmartiHill,489,1,0.3901
FTOK,388,EmartiHill,490,1,0.1242
FTOK,388,EmartiHill,491,1,0.1113
FTOK,388,EmartiW,390,2,0.3238
FTOK,388,EmartiW,391,2,-0.0049
FTOK,388,EmartiW,397,2,-0.0599
FTOK,388,EmartiW,452,2,-0.2286
FTOK,388,EmartiW,453,2,-0.2507
FTOK,388,EmartiW,466,2,-0.1391
FTOK,388,EmartiW,467,2,0.1158
FTOK,388,EmartiW,468,2,0.2196
FTOK,388,EmartiW,481,2,0.2085
FTOK,388,EmartiW,482,2,0.0256
FTOK,388,FTOK,375,0,-0.0366
FTOK,388,FTOK,471,0,-0.1761
FTOK,402,EmartiHill,411,1,-0.0759
FTOK,402,EmartiHill,436,1,0.2192
FTOK,402,EmartiHill,438,1,-0.24
FTOK,402,EmartiHill,440,1,-0.2988
FTOK,402,EmartiHill,457,1,-0.035
FTOK,402,EmartiHill,485,1,0.12
FTOK,402,EmartiHill,488,1,0.3244
FTOK,402,EmartiHill,489,1,-0.0788
FTOK,402,EmartiHill,490,1,0.0715
FTOK,402,EmartiHill,491,1,-0.099
FTOK,402,EmartiW,390,2,0.0917
FTOK,402,EmartiW,391,2,-0.2273
FTOK,402,EmartiW,397,2,-0.0315
FTOK,402,EmartiW,452,2,-0.2409
FTOK,402,EmartiW,453,2,-0.4344
FTOK,402,EmartiW,466,2,-0.3962
FTOK,402,EmartiW,467,2,0.0569
FTOK,402,EmartiW,468,2,-0.1646
FTOK,402,EmartiW,481,2,0.071
FTOK,402,EmartiW,482,2,0.1272
FTOK,402,FTOK,375,0,0.526
FTOK,402,FTOK,388,0,0.4829
FTOK,402,FTOK,463,0,-0.0249
FTOK,402,FTOK,471,0,-0.3684
FTOK,402,FTOK,blaze,0,-0.2527
FTOK,402,FTOK,fly,0,-0.2587
FTOK,402,FTOK,FTsaF,0,0.2442
FTOK,402,FTOK,ftu,0,-0.067
FTOK,402,FTOK,gp,0,-0.1991
FTOK,402,FTOK,lfl,0,-0.2817
FTOK,402,FTOK,lucycla,0,0.1521
FTOK,402,FTOK,rp,0,-0.0937
FTOK,402,FTOK,shr,0,0.0562
FTOK,402,FTOK,swp,0,0.0403
FTOK,402,FTOK,talekcub,0,-0.4218
FTOK,402,FTOK,wth,0,-0.3365
FTOK,402,FTOK,zoe,0,-0.044
FTOK,402,LimpingLion,393,0,0.328
FTOK,402,LimpingLion,395,0,0.1093
FTOK,402,LimpingLion,454,0,-0.3003
FTOK,402,LimpingLion,469,0,0.0523
FTOK,402,LimpingLion,496,0,-0.0752
FTOK,402,LimpingLion,497,0,0.1036
FTOK,402,LimpingLion,500,0,0.2705
FTOK,402,LimpingLion,beamer,0,0.387
FTOK,403,EmartiHill,411,1,0.0733
FTOK,403,EmartiHill,436,1,0.3544
FTOK,403,EmartiHill,438,1,0.1552
FTOK,403,EmartiHill,440,1,0.3937
FTOK,403,EmartiHill,457,1,0.1975
FTOK,403,EmartiHill,485,1,0.1988
FTOK,403,EmartiHill,488,1,0.1456
FTOK,403,EmartiHill,489,1,0.2054
FTOK,403,EmartiHill,490,1,0.0618
FTOK,403,EmartiHill,491,1,0.5245
FTOK,403,EmartiW,390,2,0.2294
FTOK,403,EmartiW,391,2,0.1598
FTOK,403,EmartiW,397,2,-0.0411
FTOK,403,EmartiW,452,2,0.2283
FTOK,403,EmartiW,453,2,-0.0108
