"dir","MutationTime","nVariable","m","s","N","mut_per_gen"
"Run201291",822800,187,0.1,0.01,4000,10
"Run201291",1645600,186,0.1,0.01,4000,10
"Run201291",2962080,208,0.1,0.01,4000,10
"Run201291",3126640,257,0.1,0.01,4000,10
"Run201291",3291200,228,0.1,0.01,4000,10
"Run201291",3695120,272,0.1,0.01,4000,10
"Run201291",4099040,509,0.1,0.01,4000,10
"Run201291",4502960,757,0.1,0.01,4000,10
"Run201291",4906880,1022,0.1,0.01,4000,10
"Run201292",598400,181,0.1,0.01,4000,10
"Run201292",1196800,200,0.1,0.01,4000,10
"Run201292",2154240,218,0.1,0.01,4000,10
"Run201292",2273920,221,0.1,0.01,4000,10
"Run201292",2393600,215,0.1,0.01,4000,10
"Run201292",2767600,234,0.1,0.01,4000,10
"Run201292",3141600,239,0.1,0.01,4000,10
"Run201292",3515600,387,0.1,0.01,4000,10
"Run201292",3889600,643,0.1,0.01,4000,10
"Run201293",912560,220,0.1,0.01,4000,10
"Run201293",1825120,233,0.1,0.01,4000,10
"Run201293",3285220,260,0.1,0.01,4000,10
"Run201293",3467730,249,0.1,0.01,4000,10
"Run201293",3650240,251,0.1,0.01,4000,10
"Run201293",4016760,364,0.1,0.01,4000,10
"Run201293",4383280,600,0.1,0.01,4000,10
"Run201293",4749800,838,0.1,0.01,4000,10
"Run201293",5116320,1052,0.1,0.01,4000,10
"Run201294",710600,199,0.1,0.01,4000,10
"Run201294",1421200,198,0.1,0.01,4000,10
"Run201294",2558160,226,0.1,0.01,4000,10
"Run201294",2700280,216,0.1,0.01,4000,10
"Run201294",2842400,238,0.1,0.01,4000,10
"Run201294",3238840,304,0.1,0.01,4000,10
"Run201294",3635280,500,0.1,0.01,4000,10
"Run201294",4031720,752,0.1,0.01,4000,10
"Run201294",4428160,962,0.1,0.01,4000,10
"Run201295",807840,176,0.1,0.01,4000,10
"Run201295",1615680,212,0.1,0.01,4000,10
"Run201295",2908220,204,0.1,0.01,4000,10
"Run201295",3069790,205,0.1,0.01,4000,10
"Run201295",3231360,227,0.1,0.01,4000,10
"Run201295",3620320,255,0.1,0.01,4000,10
"Run201295",4009280,298,0.1,0.01,4000,10
"Run201295",4398240,551,0.1,0.01,4000,10
"Run201295",4787200,840,0.1,0.01,4000,10
"Run201296",942480,194,0.1,0.01,4000,10
"Run201296",1884960,221,0.1,0.01,4000,10
"Run201296",3392930,216,0.1,0.01,4000,10
"Run201296",3581420,250,0.1,0.01,4000,10
"Run201296",3769920,229,0.1,0.01,4000,10
"Run201296",4136440,254,0.1,0.01,4000,10
"Run201296",4502960,240,0.1,0.01,4000,10
"Run201296",4869480,480,0.1,0.01,4000,10
"Run201296",5236000,717,0.1,0.01,4000,10
"Run201297",770440,219,0.1,0.01,4000,10
"Run201297",1540880,219,0.1,0.01,4000,10
"Run201297",2773580,261,0.1,0.01,4000,10
"Run201297",2927670,262,0.1,0.01,4000,10
"Run201297",3081760,341,0.1,0.01,4000,10
"Run201297",3463240,567,0.1,0.01,4000,10
"Run201297",3844720,740,0.1,0.01,4000,10
"Run201297",4226200,995,0.1,0.01,4000,10
"Run201297",4607680,1238,0.1,0.01,4000,10
"Run201298",755480,204,0.1,0.01,4000,10
"Run201298",1510960,224,0.1,0.01,4000,10
"Run201298",2719730,206,0.1,0.01,4000,10
"Run201298",2870820,237,0.1,0.01,4000,10
"Run201298",3021920,236,0.1,0.01,4000,10
"Run201298",3395920,261,0.1,0.01,4000,10
"Run201298",3769920,321,0.1,0.01,4000,10
"Run201298",4143920,503,0.1,0.01,4000,10
"Run201298",4517920,731,0.1,0.01,4000,10
"Run201299",935000,192,0.1,0.01,4000,10
"Run201299",1870000,222,0.1,0.01,4000,10
"Run201299",3366000,541,0.1,0.01,4000,10
"Run201299",3553000,675,0.1,0.01,4000,10
"Run201299",3740000,791,0.1,0.01,4000,10
"Run201299",4136440,1054,0.1,0.01,4000,10
"Run201299",4532880,1300,0.1,0.01,4000,10
"Run201300",867680,199,0.1,0.01,4000,10
"Run201300",1735360,213,0.1,0.01,4000,10
"Run201300",3123650,299,0.1,0.01,4000,10
"Run201300",3297180,389,0.1,0.01,4000,10
"Run201300",3470720,516,0.1,0.01,4000,10
"Run201300",3852200,793,0.1,0.01,4000,10
"Run201300",4233680,1017,0.1,0.01,4000,10
"Run201300",4615160,1276,0.1,0.01,4000,10
"Run201351",79380,151,0.1,0.02,4000,10
"Run201351",158760,178,0.1,0.02,4000,10
"Run201351",285770,237,0.1,0.02,4000,10
"Run201351",301640,224,0.1,0.02,4000,10
"Run201351",317520,252,0.1,0.02,4000,10
"Run201351",427140,379,0.1,0.02,4000,10
"Run201351",536760,513,0.1,0.02,4000,10
"Run201351",646380,606,0.1,0.02,4000,10
