"","Year","Total","Gas","Liquids","Solids","CementProduction","GasFlaring","PerCapita"
"1",1751,3,0,0,3,0,0,NA
"2",1752,3,0,0,3,0,0,NA
"3",1753,3,0,0,3,0,0,NA
"4",1754,3,0,0,3,0,0,NA
"5",1755,3,0,0,3,0,0,NA
"6",1756,3,0,0,3,0,0,NA
"7",1757,3,0,0,3,0,0,NA
"8",1758,3,0,0,3,0,0,NA
"9",1759,3,0,0,3,0,0,NA
"10",1760,3,0,0,3,0,0,NA
"11",1761,3,0,0,3,0,0,NA
"12",1762,3,0,0,3,0,0,NA
"13",1763,3,0,0,3,0,0,NA
"14",1764,3,0,0,3,0,0,NA
"15",1765,3,0,0,3,0,0,NA
"16",1766,3,0,0,3,0,0,NA
"17",1767,3,0,0,3,0,0,NA
"18",1768,3,0,0,3,0,0,NA
"19",1769,3,0,0,3,0,0,NA
"20",1770,3,0,0,3,0,0,NA
"21",1771,4,0,0,4,0,0,NA
"22",1772,4,0,0,4,0,0,NA
"23",1773,4,0,0,4,0,0,NA
"24",1774,4,0,0,4,0,0,NA
"25",1775,4,0,0,4,0,0,NA
"26",1776,4,0,0,4,0,0,NA
"27",1777,4,0,0,4,0,0,NA
"28",1778,4,0,0,4,0,0,NA
"29",1779,4,0,0,4,0,0,NA
"30",1780,4,0,0,4,0,0,NA
"31",1781,5,0,0,5,0,0,NA
"32",1782,5,0,0,5,0,0,NA
"33",1783,5,0,0,5,0,0,NA
"34",1784,5,0,0,5,0,0,NA
"35",1785,5,0,0,5,0,0,NA
"36",1786,5,0,0,5,0,0,NA
"37",1787,5,0,0,5,0,0,NA
"38",1788,5,0,0,5,0,0,NA
"39",1789,5,0,0,5,0,0,NA
"40",1790,5,0,0,5,0,0,NA
"41",1791,6,0,0,6,0,0,NA
"42",1792,6,0,0,6,0,0,NA
"43",1793,6,0,0,6,0,0,NA
"44",1794,6,0,0,6,0,0,NA
"45",1795,6,0,0,6,0,0,NA
"46",1796,6,0,0,6,0,0,NA
"47",1797,7,0,0,7,0,0,NA
"48",1798,7,0,0,7,0,0,NA
"49",1799,7,0,0,7,0,0,NA
"50",1800,8,0,0,8,0,0,NA
"51",1801,8,0,0,8,0,0,NA
"52",1802,10,0,0,10,0,0,NA
"53",1803,9,0,0,9,0,0,NA
"54",1804,9,0,0,9,0,0,NA
"55",1805,9,0,0,9,0,0,NA
"56",1806,10,0,0,10,0,0,NA
"57",1807,10,0,0,10,0,0,NA
"58",1808,10,0,0,10,0,0,NA
"59",1809,10,0,0,10,0,0,NA
"60",1810,10,0,0,10,0,0,NA
"61",1811,11,0,0,11,0,0,NA
"62",1812,11,0,0,11,0,0,NA
"63",1813,11,0,0,11,0,0,NA
"64",1814,11,0,0,11,0,0,NA
"65",1815,12,0,0,12,0,0,NA
"66",1816,13,0,0,13,0,0,NA
"67",1817,14,0,0,14,0,0,NA
"68",1818,14,0,0,14,0,0,NA
"69",1819,14,0,0,14,0,0,NA
"70",1820,14,0,0,14,0,0,NA
"71",1821,14,0,0,14,0,0,NA
"72",1822,15,0,0,15,0,0,NA
"73",1823,16,0,0,16,0,0,NA
"74",1824,16,0,0,16,0,0,NA
"75",1825,17,0,0,17,0,0,NA
"76",1826,17,0,0,17,0,0,NA
"77",1827,18,0,0,18,0,0,NA
"78",1828,18,0,0,18,0,0,NA
"79",1829,18,0,0,18,0,0,NA
"80",1830,24,0,0,24,0,0,NA
"81",1831,23,0,0,23,0,0,NA
"82",1832,23,0,0,23,0,0,NA
"83",1833,24,0,0,24,0,0,NA
"84",1834,24,0,0,24,0,0,NA
"85",1835,25,0,0,25,0,0,NA
"86",1836,29,0,0,29,0,0,NA
"87",1837,29,0,0,29,0,0,NA
"88",1838,30,0,0,30,0,0,NA
"89",1839,31,0,0,31,0,0,NA
"90",1840,33,0,0,33,0,0,NA
"91",1841,34,0,0,34,0,0,NA
"92",1842,36,0,0,36,0,0,NA
"93",1843,37,0,0,37,0,0,NA
"94",1844,39,0,0,39,0,0,NA
"95",1845,43,0,0,43,0,0,NA
"96",1846,43,0,0,43,0,0,NA
"97",1847,46,0,0,46,0,0,NA
"98",1848,47,0,0,47,0,0,NA
"99",1849,50,0,0,50,0,0,NA
"100",1850,54,0,0,54,0,0,NA
"101",1851,54,0,0,54,0,0,NA
"102",1852,57,0,0,57,0,0,NA
"103",1853,59,0,0,59,0,0,NA
"104",1854,69,0,0,69,0,0,NA
"105",1855,71,0,0,71,0,0,NA
"106",1856,76,0,0,76,0,0,NA
"107",1857,77,0,0,77,0,0,NA
"108",1858,78,0,0,78,0,0,NA
"109",1859,83,0,0,83,0,0,NA
"110",1860,91,0,0,91,0,0,NA
"111",1861,95,0,0,95,0,0,NA
"112",1862,97,0,0,96,0,0,NA
"113",1863,104,0,0,103,0,0,NA
"114",1864,112,0,0,112,0,0,NA
"115",1865,119,0,0,119,0,0,NA
"116",1866,122,0,0,122,0,0,NA
"117",1867,130,0,0,130,0,0,NA
"118",1868,135,0,0,134,0,0,NA
"119",1869,142,0,0,142,0,0,NA
"120",1870,147,0,1,146,0,0,NA
"121",1871,156,0,1,156,0,0,NA
"122",1872,173,0,1,173,0,0,NA
"123",1873,184,0,1,183,0,0,NA
"124",1874,174,0,1,173,0,0,NA
"125",1875,188,0,1,187,0,0,NA
"126",1876,191,0,1,190,0,0,NA
"127",1877,194,0,2,192,0,0,NA
"128",1878,196,0,2,194,0,0,NA
"129",1879,210,0,3,207,0,0,NA
"130",1880,236,0,3,233,0,0,NA
"131",1881,243,0,4,239,0,0,NA
"132",1882,256,0,4,252,0,0,NA
"133",1883,272,0,3,269,0,0,NA
"134",1884,275,0,4,271,0,0,NA
"135",1885,277,1,4,273,0,0,NA
"136",1886,281,2,5,275,0,0,NA
"137",1887,295,3,5,287,0,0,NA
"138",1888,327,5,5,317,0,0,NA
"139",1889,327,3,6,318,0,0,NA
"140",1890,356,3,8,345,0,0,NA
"141",1891,372,2,9,360,0,0,NA
"142",1892,374,2,9,363,0,0,NA
"143",1893,370,2,10,358,0,0,NA
"144",1894,383,2,9,372,0,0,NA
"145",1895,406,2,11,393,0,0,NA
"146",1896,419,2,12,405,0,0,NA
"147",1897,440,2,13,425,0,0,NA
"148",1898,465,2,13,449,0,0,NA
"149",1899,507,3,14,491,0,0,NA
"150",1900,534,3,16,515,0,0,NA
"151",1901,552,4,18,531,0,0,NA
